"SPECIES","n"
"American avocet",20
"Carolina wren",20
"Common waxbill",20
"Red-bellied woodpecker",20
"Western wood-pewee",20
"Antillean nighthawk",19
"Ash-throated flycatcher",19
"Cinnamon teal",19
"Clapper rail",19
"Northern bobwhite",19
"Northern cardinal",19
"Brown noddy",18
"Common goldeneye",18
"Downy woodpecker",18
"Long-billed dowitcher",18
"Mourning warbler",18
"Red-breasted merganser",18
"Antillean palm swift",17
"Deer",17
"Florida softshell turtle",17
"Hawaiian duck",17
"Lagomorphs (rabbits, hares)",17
"Lesser goldfinch",17
"Philippine collared dove",17
"Rails",17
"Black tern",16
"Black-throated sparrow",16
"Chestnut-collared longspur",16
"Common merganser",16
"Herons, egrets, bitterns",16
"Inca dove",16
"Magnificent frigatebird",16
"Painted bunting",16
"Rock wren",16
"Sprague's pipit",16
"Woodpeckers",16
"Great frigatebird",15
"Hooded warbler",15
"Plovers, lapwings",15
"Pond slider",15
"Royal tern",15
"Spotted towhee",15
"Black-headed gull",14
"California ground squirrel",14
"Common garter snake",14
"Falcons, caracaras",14
"Grebes",14
"Hawaiian goose",14
"Pacific wren",14
"Worm-eating warbler",14
"Black-throated gray warbler",13
"Common gallinule",13
"LeConte's sparrow",13
"Marbled godwit",13
"Mute swan",13
"Richardson's ground squirrel",13
"Saffron finch",13
"Sage thrasher",13
"Skunks",13
"Small Indian mongoose",13
"Swallow-tailed kite",13
"Bullock's oriole",12
"Cattle",12
"Common wood-pigeon",12
"Long-billed thrasher",12
"Red-breasted nuthatch",12
"Wapiti (elk)",12
"Willow ptarmigan",12
"Yellow-throated vireo",12
"Brown creeper",11
"Cassin's vireo",11
"Crows, ravens",11
"Ground squirrels",11
"Megabats",11
"Newell's shearwater",11
"Northern saw-whet owl",11
"Red avadavat",11
"Smith's longspur",11
"Tricolored heron",11
"Black francolin",10
"Black phoebe",10
"Cassin's sparrow",10
"Eastern rat snake",10
"Glossy ibis",10
"Hares",10
"Harris's sparrow",10
"Least bittern",10
"Lesser black-backed gull",10
"New World quail",10
"Pallas's mastiff bat",10
"Pelicans",10
"Pronghorn",10
"Red crossbill",10
"Southern lapwing",10
"Swine (pigs)",10
"Tropicbirds",10
"Black swift",9
"Blue-winged/cinnamon/green-winged teal complex",9
"Cactus wren",9
"Connecticut warbler",9
"Dusky flycatcher",9
"Gray francolin",9
"Long-tailed duck",9
"Nelson's sparrow",9
"Noddies",9
"Plains garter snake",9
"Prothonotary warbler",9
"Snowy plover",9
"Sooty tern",9
"Yellow-billed magpie",9
"African silverbill",8
"American badger",8
"Baird's sparrow",8
"Black-chinned hummingbird",8
"Black-footed albatross",8
"Common chaffinch",8
"Eastern screech-owl",8
"Gull-billed tern",8
"Hermit warbler",8
"Hudsonian godwit",8
"Ibises",8
"Indiana bat",8
"Kites, eagles, hawks",8
"Lined snake",8
"Mountain chickadee",8
"Olive-sided flycatcher",8
"Red-crested cardinal",8
"Red-naped sapsucker",8
"Red-necked grebe",8
"Red-vented bulbul",8
"Squirrels",8
"Thick-billed longspur",8
"Tree squirrels",8
"White-winged scoter",8
"American mink",7
"Bell's sparrow",7
"Common eider",7
"Eagles",7
