"SPECIES_GROUP","MONTH_NAME","strikes","pct_of_species"
"Gulls & terns","Aug",1436,8.77643319887544
"Gulls & terns","Sep",1464,8.94756142280895
"Gulls & terns","Oct",1620,9.9009900990099
"Gulls & terns","Nov",1351,8.25693680479159
"Gulls & terns","Dec",941,5.75113066862242
"Other birds","Jan",25,0.474473334598596
"Other birds","Feb",22,0.417536534446764
"Other birds","Mar",92,1.74606187132283
"Other birds","Apr",292,5.5418485481116
"Other birds","May",653,12.3932434997153
"Other birds","Jun",530,10.0588346934902
"Other birds","Jul",683,12.9626115012336
"Other birds","Aug",881,16.7204403112545
"Other birds","Sep",1278,24.2550768646802
"Other birds","Oct",715,13.5699373695198
"Other birds","Nov",69,1.30954640349212
"Other birds","Dec",29,0.550389068134371
"Other mammals","Jan",291,5.2622061482821
"Other mammals","Feb",301,5.44303797468354
"Other mammals","Mar",397,7.17902350813743
"Other mammals","Apr",373,6.74502712477396
"Other mammals","May",460,8.31826401446655
"Other mammals","Jun",558,10.0904159132007
"Other mammals","Jul",652,11.7902350813743
"Other mammals","Aug",634,11.4647377938517
"Other mammals","Sep",584,10.5605786618445
"Other mammals","Oct",577,10.4339963833635
"Other mammals","Nov",414,7.48643761301989
"Other mammals","Dec",289,5.22603978300181
"Perching birds","Jan",1851,2.20901507285811
"Perching birds","Feb",1983,2.36654613153843
"Perching birds","Mar",3006,3.58741183631091
"Perching birds","Apr",5185,6.18786772164739
"Perching birds","May",9601,11.4579976847708
"Perching birds","Jun",8730,10.4185313809029
"Perching birds","Jul",13482,16.0896494933944
"Perching birds","Aug",11773,14.0500996503288
"Perching birds","Sep",10354,12.3566407695154
"Perching birds","Oct",10564,12.6072583628704
"Perching birds","Nov",5144,6.1389376200876
"Perching birds","Dec",2120,2.53004427577483
"Raptors","Jan",1343,4.72106021724611
"Raptors","Feb",1299,4.56638661370267
"Raptors","Mar",1767,6.21155130593736
"Raptors","Apr",2026,7.12201638134074
"Raptors","May",1351,4.74918269061764
"Raptors","Jun",2013,7.076317362112
"Raptors","Jul",4349,15.2880795865996
"Raptors","Aug",3890,13.6745526769079
"Raptors","Sep",3389,11.9133827820157
"Raptors","Oct",3153,11.0837698175555
"Raptors","Nov",2172,7.63525152037122
"Raptors","Dec",1695,5.95844904559356
"Reptiles & amphibians","Jan",7,0.97629009762901
"Reptiles & amphibians","Feb",15,2.09205020920502
"Reptiles & amphibians","Mar",31,4.32357043235704
"Reptiles & amphibians","Apr",74,10.3207810320781
"Reptiles & amphibians","May",131,18.2705718270572
"Reptiles & amphibians","Jun",177,24.6861924686192
"Reptiles & amphibians","Jul",100,13.9470013947001
"Reptiles & amphibians","Aug",65,9.06555090655509
"Reptiles & amphibians","Sep",49,6.83403068340307
"Reptiles & amphibians","Oct",36,5.02092050209205
"Reptiles & amphibians","Nov",21,2.92887029288703
"Reptiles & amphibians","Dec",11,1.53417015341702
"Seabirds","Jan",45,4.18994413407821
"Seabirds","Feb",46,4.28305400372439
"Seabirds","Mar",70,6.51769087523277
"Seabirds","Apr",135,12.5698324022346
"Seabirds","May",110,10.2420856610801
"Seabirds","Jun",84,7.82122905027933
"Seabirds","Jul",80,7.4487895716946
"Seabirds","Aug",99,9.21787709497207
"Seabirds","Sep",85,7.91433891992551
"Seabirds","Oct",127,11.8249534450652
"Seabirds","Nov",122,11.3594040968343
"Seabirds","Dec",71,6.61080074487896
"Shorebirds","Jan",465,2.61780104712042
"Shorebirds","Feb",434,2.44328097731239
"Shorebirds","Mar",624,3.51292011484547
"Shorebirds","Apr",1013,5.70286550695265
"Shorebirds","May",899,5.06108202443281
"Shorebirds","Jun",1139,6.41220514552722
"Shorebirds","Jul",2579,14.5189438720937
"Shorebirds","Aug",3666,20.6384056747171
"Shorebirds","Sep",2911,16.3879975229409
"Shorebirds","Oct",2132,12.0024770590553
"Shorebirds","Nov",1201,6.76124528514327
"Shorebirds","Dec",700,3.94077576985869
"Unknown","Jan",2,4.34782608695652
"Unknown","Feb",5,10.8695652173913
"Unknown","Mar",2,4.34782608695652
"Unknown","Apr",3,6.52173913043478
"Unknown","May",5,10.8695652173913
"Unknown","Jun",3,6.52173913043478
"Unknown","Jul",4,8.69565217391304
"Unknown","Aug",5,10.8695652173913
"Unknown","Sep",5,10.8695652173913
"Unknown","Oct",8,17.3913043478261
"Unknown","Nov",2,4.34782608695652
"Unknown","Dec",2,4.34782608695652
"Unknown bird","Jan",3833,2.81666335986126
"Unknown bird","Feb",3694,2.71451981511284
"Unknown bird","Mar",6266,4.60454281578154
"Unknown bird","Apr",10554,7.75556094442362
"Unknown bird","May",15424,11.3342592388469
"Unknown bird","Jun",9947,7.30950963750064
"Unknown bird","Jul",14205,10.4384823967726
"Unknown bird","Aug",17794,13.0758434190898
"Unknown bird","Sep",20293,14.9122226876245
"Unknown bird","Oct",19707,14.4816031392606
"Unknown bird","Nov",9554,7.0207152987515
"Unknown bird","Dec",4812,3.53607724697427
"Upland game birds","Jan",30,6.13496932515337
"Upland game birds","Feb",16,3.2719836400818
"Upland game birds","Mar",38,7.77096114519427
"Upland game birds","Apr",55,11.2474437627812
"Upland game birds","May",55,11.2474437627812
"Upland game birds","Jun",41,8.38445807770961
"Upland game birds","Jul",47,9.61145194274029
"Upland game birds","Aug",43,8.79345603271984
"Upland game birds","Sep",51,10.4294478527607
"Upland game birds","Oct",48,9.8159509202454
"Upland game birds","Nov",30,6.13496932515337
"Upland game birds","Dec",35,7.15746421267894
"Wading birds","Jan",222,4.97534737785746
"Wading birds","Feb",190,4.25818018825639
"Wading birds","Mar",253,5.67010309278351
"Wading birds","Apr",327,7.32855221873599
"Wading birds","May",441,9.88346033168983
"Wading birds","Jun",410,9.18870461676378
"Wading birds","Jul",420,9.41281936351412
"Wading birds","Aug",393,8.80770954728821
"Wading birds","Sep",475,10.645450470641
"Wading birds","Oct",601,13.4692962796952
"Wading birds","Nov",426,9.54728821156432
"Wading birds","Dec",304,6.81308830121022
"Waterfowl","Jan",704,8.63274064990803
"Waterfowl","Feb",554,6.79337829552422
"Waterfowl","Mar",948,11.6247700797057
"Waterfowl","Apr",829,10.1655426118945
"Waterfowl","May",640,7.84794604537094
"Waterfowl","Jun",300,3.67872470876763
"Waterfowl","Jul",264,3.23727774371551
"Waterfowl","Aug",486,5.95953402820356
"Waterfowl","Sep",607,7.4432863274065
"Waterfowl","Oct",898,11.0116492949111
"Waterfowl","Nov",1059,12.9858982219497
"Waterfowl","Dec",866,10.6192519926425
