"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Franklin's gull","Descent","Day",1,1,1
"Franklin's gull","Descent","Night",1,1,1
"Gambel's quail","Take-off Run","Dusk",1,1,1
"Geese","Local","Day",1,1,1
"Glaucous-winged gull","Take-off Run","Night",1,1,1
"Glaucous gull","Take-off Run","Night",1,1,1
"Golden eagle","Descent","Day",1,1,1
"Grackles","Approach","Dawn",1,1,1
"Grackles","En Route","Dawn",1,1,1
"Grackles","En Route","Night",1,1,1
"Grackles","Take-off Run","Night",1,1,1
"Gray heron","Take-off Run","Day",1,1,1
"Gray kingbird","Approach","Dusk",1,1,1
"Gray partridge","Approach","Day",1,1,1
"Gray partridge","Climb","Night",1,1,1
"Great-tailed grackle","Approach","Night",1,1,1
"Great black-backed gull","Departure","Dusk",1,1,1
"Great black-backed gull","Descent","Night",1,1,1
"Great black-backed gull","Take-off Run","Dawn",1,1,1
"Great black-backed gull","Take-off Run","Dusk",1,1,1
"Great blue heron","Descent","Night",1,1,1
"Great frigatebird","En Route","Day",1,1,1
"Great gray owl","Landing Roll","Night",1,1,1
"Great horned owl","Climb","Dusk",1,1,1
"Great horned owl","Landing Roll","Day",1,1,1
"Greater sage-grouse","Climb","Day",1,1,1
"Greater sage-grouse","Departure","Day",1,1,1
"Greater scaup","Approach","Dusk",1,1,1
"Greater spotted eagle","Take-off Run","Day",1,1,1
"Greater white-fronted goose","En Route","Dusk",1,1,1
"Greater yellowlegs","En Route","Day",1,1,1
"Green-winged teal","Approach","Dawn",1,1,1
"Green-winged teal","Landing Roll","Day",1,1,1
"Grouse","Approach","Dusk",1,1,1
"Hawks","Descent","Night",1,1,1
"Herons","Climb","Dusk",1,1,1
"Herons","En Route","Night",1,1,1
"Herons","Take-off Run","Dusk",1,1,1
"Herons, egrets, bitterns","Approach","Night",1,1,1
"Hooded merganser","En Route","Night",1,1,1
"Hooded merganser","Landing Roll","Night",1,1,1
"Horned grebe","Climb","Day",1,1,1
"Horned grebe","Descent","Day",1,1,1
"Horned grebe","En Route","Night",1,1,1
"Horse","Landing Roll","Day",1,1,1
"House sparrow","Climb","Dawn",1,1,1
"Hudsonian godwit","Climb","Dawn",1,1,1
"Iceland gull","Take-off Run","Day",1,1,1
"Kittiwakes","Landing Roll","Day",1,1,1
"Ladder-backed woodpecker","En Route","Night",1,1,1
"Lappet-faced vulture","Climb","Day",1,1,1
"Laysan albatross","Climb","Dawn",1,1,1
"Laysan albatross","Climb","Night",1,1,1
"Least flycatcher","Departure","Night",1,1,1
"Lesser black-backed gull","Climb","Dawn",1,1,1
"Lesser black-backed gull","Climb","Night",1,1,1
"Lesser black-backed gull","Landing Roll","Day",1,1,1
"Lesser scaup","En Route","Day",1,1,1
"Lesser scaup","Landing Roll","Night",1,1,1
"Lesser yellowlegs","Climb","Day",1,1,1
"Lesser yellowlegs","Descent","Day",1,1,1
"Lesser yellowlegs","En Route","Day",1,1,1
"Lincoln's sparrow","Descent","Day",1,1,1
"Long-billed curlew","Take-off Run","Dawn",1,1,1
"Long-eared owl","Climb","Night",1,1,1
"Long-tailed duck","Approach","Night",1,1,1
"Long-tailed duck","En Route","Day",1,1,1
"Louisiana waterthrush","Landing Roll","Day",1,1,1
"Magnificent frigatebird","Descent","Day",1,1,1
"Mallard","Descent","Day",1,1,1
"Mallard/mottled duck complex","Take-off Run","Day",1,1,1
"Marsh wren","Climb","Night",1,1,1
"Moose","Landing Roll","Dusk",1,1,1
"Moose","Local","Day",1,1,1
"Moose","Take-off Run","Day",1,1,1
"Moose","Take-off Run","Night",1,1,1
