"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Free-tailed bats","Landing Roll","Day",3,0,0
"Free-tailed bats","Take-off Run","Night",3,0,0
"Geese","Approach","Dawn",3,0,0
"Glaucous gull","Take-off Run","Day",3,0,0
"Golden-crowned kinglet","Approach","Day",3,0,0
"Golden-crowned kinglet","Landing Roll","Dawn",3,0,0
"Golden-crowned kinglet","Landing Roll","Night",3,0,0
"Gray-cheeked thrush","Approach","Day",3,0,0
"Gray catbird","Climb","Day",3,0,0
"Gray catbird","Landing Roll","Day",3,0,0
"Gray partridge","Approach","Night",3,0,0
"Gray partridge","Take-off Run","Night",3,0,0
"Great-tailed grackle","Approach","Day",3,0,0
"Great black-backed gull","Arrival","Day",3,0,0
"Greater white-fronted goose","Landing Roll","Day",3,0,0
"Green-tailed towhee","Descent","Night",3,0,0
"Green-winged teal","Landing Roll","Night",3,0,0
"Gulls","Local","Night",3,0,0
"Gunnison's prairie dog","Take-off Run","Day",3,0,0
"Hares","Take-off Run","Night",3,0,0
"Hawaiian goose","Landing Roll","Day",3,0,0
"Hawks","Climb","Night",3,0,0
"Herons","Landing Roll","Dusk",3,0,0
"Herons","Take-off Run","Night",3,0,0
"Herons, egrets, bitterns","Take-off Run","Day",3,0,0
"Herring gull","Departure","Day",3,0,0
"Herring gull","Take-off Run","Night",3,0,0
"House sparrow","Local","Day",3,0,0
"Hummingbirds","Landing Roll","Day",3,0,0
"Indigo bunting","Climb","Day",3,0,0
"Indigo bunting","Landing Roll","Day",3,0,0
"Indigo bunting","Landing Roll","Night",3,0,0
"Kentucky warbler","Climb","Day",3,0,0
"Killdeer","Arrival","Night",3,0,0
"Lark bunting","Approach","Night",3,0,0
"Lark sparrow","Descent","Night",3,0,0
"Laysan albatross","Landing Roll","Day",3,0,0
"Least sandpiper","Take-off Run","Night",3,0,0
"Lincoln's sparrow","Landing Roll","Day",3,0,0
"Little brown bat","Approach","Day",3,0,0
"Long-eared owl","Approach","Night",3,0,0
"MacGillivray's warbler","Descent","Night",3,0,0
"Meadowlarks","Approach","Night",3,0,0
"Megabats","Approach","Night",3,0,0
"Microbats","Departure","Night",3,0,0
"Microbats","Local","Night",3,0,0
"Mississippi kite","Landing Roll","Day",3,0,0
"Mottled duck","Approach","Day",3,0,0
"Mourning dove","Departure","Dusk",3,0,0
"Mourning dove","Descent","Dawn",3,0,0
"Mourning dove","Local","Night",3,0,0
"Mule deer","Take-off Run","Day",3,0,0
"Munias","Landing Roll","Dusk",3,0,0
"Nashville warbler","Approach","Day",3,0,0
"Nelson's sparrow","Approach","Night",3,0,0
"New World wood-warblers","Climb","Night",3,0,0
"Nine-banded armadillo","Take-off Run","Day",3,0,0
"North American porcupine","Take-off Run","Night",3,0,0
"Northern flicker","Landing Roll","Day",3,0,0
"Northern flicker","Take-off Run","Day",3,0,0
"Northern harrier","Landing Roll","Night",3,0,0
"Northern rough-winged swallow","Approach","Dusk",3,0,0
"Osprey","Take-off Run","Dusk",3,0,0
"Ovenbird","Approach","Dawn",3,0,0
"Ovenbird","Climb","Night",3,0,0
"Ovenbird","Landing Roll","Day",3,0,0
"Owls","Arrival","Night",3,0,0
"Pacific golden-plover","Arrival","Day",3,0,0
"Pacific golden-plover","Departure","Night",3,0,0
"Painted bunting","Approach","Night",3,0,0
"Pelicans","Approach","Night",3,0,0
"Perching birds (y)","Climb","Dusk",3,0,0
"Perching birds (y)","Take-off Run","Dusk",3,0,0
"Perching birds (y)","Taxi","Day",3,0,0
"Peregrine falcon","Taxi","Day",3,0,0
"Pigeons","Landing Roll","Day",3,0,0
"Pigeons, doves","Approach","Night",3,0,0
"Pine siskin","Approach","Dawn",3,0,0
"Plovers","Landing Roll","Dusk",3,0,0
"Plovers","Landing Roll","Night",3,0,0
"Pond slider","Take-off Run","Day",3,0,0
"Prairie falcon","Approach","Day",3,0,0
"Prothonotary warbler","Approach","Night",3,0,0
"Purple martin","Approach","Night",3,0,0
"Purple martin","Climb","Dawn",3,0,0
"Purple martin","Descent","Day",3,0,0
"Purple martin","Take-off Run","Night",3,0,0
"Rabbits","Landing Roll","Dawn",3,0,0
"Raccoon","Take-off Run","Day",3,0,0
"Red-bellied woodpecker","Approach","Night",3,0,0
"Red-breasted nuthatch","Approach","Day",3,0,0
"Red-crested cardinal","Landing Roll","Day",3,0,0
"Red-eyed vireo","Climb","Day",3,0,0
"Red-eyed vireo","Landing Roll","Dawn",3,0,0
"Red-shouldered hawk","Landing Roll","Dusk",3,0,0
"Red-winged blackbird","Departure","Day",3,0,0
"Red-winged blackbird","Take-off Run","Dawn",3,0,0
"Red fox","Approach","Night",3,0,0
"Red fox","Local","Dusk",3,0,0
"Red fox","Take-off Run","Dawn",3,0,0
"Ring-billed gull","Descent","Day",3,0,0
"Ring-billed gull","Local","Day",3,0,0
"Ring-necked pheasant","Climb","Day",3,0,0
"Ring-necked pheasant","Landing Roll","Night",3,0,0
"Ruby-crowned kinglet","Take-off Run","Night",3,0,0
"Ruby-throated hummingbird","Take-off Run","Day",3,0,0
"Sanderling","Landing Roll","Day",3,0,0
"Savannah sparrow","Approach","Dawn",3,0,0
"Savannah sparrow","Departure","Day",3,0,0
"Savannah sparrow","Descent","Night",3,0,0
"Say's phoebe","Approach","Day",3,0,0
"Say's phoebe","Approach","Night",3,0,0
"Say's phoebe","Take-off Run","Day",3,0,0
"Scaly-breasted munia","Approach","Dawn",3,0,0
"Scarlet tanager","Approach","Day",3,0,0
"Scarlet tanager","Landing Roll","Night",3,0,0
"Scissor-tailed flycatcher","Departure","Day",3,0,0
"Sedge wren","Approach","Night",3,0,0
"Semipalmated sandpiper","Landing Roll","Dusk",3,0,0
"Sharp-tailed grouse","Approach","Day",3,0,0
"Shorebirds","Take-off Run","Day",3,0,0
"Silver-haired bat","Approach","Day",3,0,0
"Silver-haired bat","Climb","Night",3,0,0
"Smith's longspur","Landing Roll","Day",3,0,0
"Snow bunting","Approach","Dusk",3,0,0
"Snow goose","Take-off Run","Day",3,0,0
"Snowy owl","Approach","Dawn",3,0,0
"Song sparrow","Climb","Day",3,0,0
"Sooty tern","Approach","Day",3,0,0
"Sparrows","Descent","Night",3,0,0
"Spotted dove","Take-off Run","Dawn",3,0,0
"Spotted sandpiper","Approach","Night",3,0,0
"Swainson's thrush","Approach","Dusk",3,0,0
"Swainson's thrush","Climb","Dawn",3,0,0
"Swallows","Arrival","Day",3,0,0
"Swallows","Climb","Dawn",3,0,0
"Swallows","Descent","Day",3,0,0
"Swallows","En Route","Night",3,0,0
"Swamp sparrow","Approach","Day",3,0,0
"Swamp sparrow","Descent","Night",3,0,0
"Swamp sparrow","Landing Roll","Night",3,0,0
"Tennessee warbler","Approach","Dawn",3,0,0
"Tennessee warbler","Landing Roll","Night",3,0,0
"Townsend's warbler","Landing Roll","Day",3,0,0
"Tree swallow","Arrival","Day",3,0,0
"Tree swallow","Take-off Run","Night",3,0,0
"Tri-colored bat","Approach","Night",3,0,0
"Upland sandpiper","Landing Roll","Night",3,0,0
"Upland sandpiper","Local","Day",3,0,0
"Varied thrush","Approach","Dusk",3,0,0
"Vaux's swift","Climb","Day",3,0,0
"Vaux's swift","Departure","Day",3,0,0
"Vesper bats","Landing Roll","Day",3,0,0
"Wedge-tailed shearwater","Approach","Night",3,0,0
"Western bluebird","Approach","Day",3,0,0
"Western cattle egret","Arrival","Day",3,0,0
"Western cattle egret","Landing Roll","Night",3,0,0
"Western cattle egret","Take-off Run","Night",3,0,0
"Western flycatcher","Approach","Day",3,0,0
"Western flycatcher","Climb","Night",3,0,0
"Western gull","Climb","Dawn",3,0,0
"Western meadowlark","Taxi","Day",3,0,0
"Western sandpiper","Climb","Night",3,0,0
"Western sandpiper","Landing Roll","Dawn",3,0,0
"Western tanager","Climb","Day",3,0,0
"Western tanager","Landing Roll","Night",3,0,0
"Whimbrel","Approach","Day",3,0,0
"White-headed gull complex","Landing Roll","Dusk",3,0,0
"White-rumped sandpiper","Landing Roll","Day",3,0,0
"White-tailed jackrabbit","Landing Roll","Day",3,0,0
"White-tailed kite","Approach","Dusk",3,0,0
"White-throated sparrow","Approach","Dawn",3,0,0
"White-throated sparrow","Climb","Day",3,0,0
"White-throated swift","Approach","Dawn",3,0,0
"White-throated swift","En Route","Day",3,0,0
"White-throated swift","Landing Roll","Day",3,0,0
"White ibis","Approach","Day",3,0,0
"Wilson's phalarope","Approach","Day",3,0,0
"Wilson's warbler","Climb","Day",3,0,0
"Winter wren","Approach","Day",3,0,0
"Wood duck","Approach","Day",3,0,0
"Woodpeckers","Landing Roll","Day",3,0,0
"Wrens","Climb","Day",3,0,0
"Yellow-bellied marmot","Take-off Run","Day",3,0,0
"Yellow-billed cuckoo","Landing Roll","Night",3,0,0
"Yellow-billed cuckoo","Take-off Run","Day",3,0,0
"Yellow-breasted chat","Landing Roll","Day",3,0,0
"Yellow-breasted chat","Take-off Run","Day",3,0,0
"Yellow-crowned night heron","Landing Roll","Day",3,0,0
"Yellow-rumped warbler","Take-off Run","Day",3,0,0
"Yellow-throated warbler","Landing Roll","Day",3,0,0
"Yellow bittern","Take-off Run","Dawn",3,0,0
"Yellow warbler","Descent","Night",3,0,0
"Yellow warbler","Take-off Run","Day",3,0,0
"Zebra dove","Taxi","Day",3,0,0
"Acadian flycatcher","Descent","Day",2,0,0
"African silverbill","Climb","Day",2,0,0
"African silverbill","Landing Roll","Day",2,0,0
"American alligator","Taxi","Night",2,0,0
"American barn owl","Arrival","Night",2,0,0
"American barn owl","Climb","Day",2,0,0
"American barn owl","Taxi","Night",2,0,0
"American black duck","Approach","Dawn",2,0,0
"American black duck","Approach","Day",2,0,0
"American black duck","Take-off Run","Day",2,0,0
"American crow","Arrival","Day",2,0,0
"American crow","Landing Roll","Dusk",2,0,0
"American golden-plover","Climb","Dawn",2,0,0
"American golden-plover","Departure","Day",2,0,0
"American golden-plover","Landing Roll","Dusk",2,0,0
"American goldfinch","Approach","Dawn",2,0,0
"American goldfinch","Approach","Dusk",2,0,0
"American goldfinch","Arrival","Day",2,0,0
"American goldfinch","Local","Day",2,0,0
"American goldfinch","Take-off Run","Dawn",2,0,0
"American kestrel","Arrival","Night",2,0,0
"American kestrel","Departure","Dusk",2,0,0
"American kestrel","Local","Dusk",2,0,0
"American pipit","Approach","Dawn",2,0,0
"American pipit","Climb","Dawn",2,0,0
"American pipit","Landing Roll","Night",2,0,0
"American pipit","Take-off Run","Night",2,0,0
"American redstart","Approach","Dawn",2,0,0
"American redstart","Descent","Night",2,0,0
"American redstart","En Route","Day",2,0,0
"American redstart","Landing Roll","Day",2,0,0
"American robin","En Route","Day",2,0,0
"American tree sparrow","Climb","Night",2,0,0
"American tree sparrow","Take-off Run","Day",2,0,0
"American woodcock","Landing Roll","Dusk",2,0,0
"American woodcock","Take-off Run","Night",2,0,0
"Anhinga","Landing Roll","Day",2,0,0
"Anna's hummingbird","Landing Roll","Day",2,0,0
"Antillean nighthawk","Departure","Night",2,0,0
"Antillean palm swift","Departure","Night",2,0,0
"Ash-throated flycatcher","Landing Roll","Night",2,0,0
"Baird's sandpiper","Take-off Run","Day",2,0,0
"Bald eagle","Approach","Night",2,0,0
"Bald eagle","Local","Day",2,0,0
"Baltimore oriole","Approach","Day",2,0,0
"Baltimore oriole","Descent","Night",2,0,0
"Baltimore oriole","Landing Roll","Day",2,0,0
"Band-tailed pigeon","Landing Roll","Night",2,0,0
"Band-tailed pigeon","Take-off Run","Day",2,0,0
"Bank swallow","Approach","Night",2,0,0
"Bank swallow","Arrival","Day",2,0,0
"Bank swallow","Descent","Day",2,0,0
"Barn swallow","Descent","Night",2,0,0
"Bay-breasted warbler","Approach","Dawn",2,0,0
"Bay-breasted warbler","Approach","Dusk",2,0,0
"Bay-breasted warbler","Climb","Day",2,0,0
"Bay-breasted warbler","Climb","Night",2,0,0
"Bay-breasted warbler","Take-off Run","Night",2,0,0
"Big brown bat","Climb","Day",2,0,0
"Black-and-white warbler","Approach","Dawn",2,0,0
"Black-and-white warbler","Climb","Day",2,0,0
"Black-and-white warbler","En Route","Night",2,0,0
"Black-bellied plover","Climb","Dawn",2,0,0
"Black-bellied plover","Take-off Run","Dusk",2,0,0
"Black-bellied whistling-duck","Landing Roll","Night",2,0,0
"Black-billed magpie","Climb","Day",2,0,0
"Black-billed magpie","Take-off Run","Dusk",2,0,0
"Black-capped chickadee","Climb","Day",2,0,0
"Black-footed albatross","Landing Roll","Night",2,0,0
"Black-headed grosbeak","Approach","Day",2,0,0
"Black-headed grosbeak","Take-off Run","Night",2,0,0
"Black-headed gull","Landing Roll","Day",2,0,0
"Black-necked stilt","Take-off Run","Day",2,0,0
"Black-tailed jackrabbit","Departure","Day",2,0,0
"Black-tailed jackrabbit","Local","Night",2,0,0
"Black-throated blue warbler","Approach","Dawn",2,0,0
"Black-throated blue warbler","Descent","Night",2,0,0
"Black-throated blue warbler","Landing Roll","Night",2,0,0
"Black-throated gray warbler","Approach","Night",2,0,0
"Black-throated green warbler","Landing Roll","Night",2,0,0
"Black drongo","Approach","Day",2,0,0
"Black noddy","Climb","Day",2,0,0
"Black skimmer","Climb","Day",2,0,0
"Blackpoll warbler","Climb","Day",2,0,0
"Blackpoll warbler","En Route","Night",2,0,0
"Blackpoll warbler","Landing Roll","Day",2,0,0
"Blue-billed white tern","Approach","Night",2,0,0
"Blue-gray gnatcatcher","Descent","Day",2,0,0
"Blue-gray gnatcatcher","Landing Roll","Day",2,0,0
"Blue-winged teal","Approach","Day",2,0,0
"Blue-winged teal","Landing Roll","Day",2,0,0
"Boat-tailed grackle","Approach","Dusk",2,0,0
"Bobolink","Take-off Run","Day",2,0,0
"Bohemian waxwing","Approach","Day",2,0,0
"Bonaparte's gull","Approach","Night",2,0,0
"Bonaparte's gull","Climb","Dusk",2,0,0
"Bonaparte's gull","Departure","Day",2,0,0
"Brant","Approach","Dusk",2,0,0
"Brant","Take-off Run","Day",2,0,0
"Brazilian free-tailed bat","Arrival","Night",2,0,0
"Brazilian free-tailed bat","Climb","Dawn",2,0,0
"Brazilian free-tailed bat","En Route","Dusk",2,0,0
"Brazilian free-tailed bat","Landing Roll","Dawn",2,0,0
"Brewer's blackbird","Approach","Day",2,0,0
"Brewer's blackbird","Approach","Night",2,0,0
"Brewer's blackbird","Landing Roll","Night",2,0,0
"Brewer's sparrow","Climb","Night",2,0,0
"Brewer's sparrow","Departure","Day",2,0,0
"Brown creeper","Approach","Night",2,0,0
"Brown noddy","Approach","Night",2,0,0
"Brown pelican","Landing Roll","Night",2,0,0
"Brown pelican","Take-off Run","Dusk",2,0,0
"Brown thrasher","Approach","Day",2,0,0
"Buff-breasted sandpiper","Approach","Night",2,0,0
"Buff-breasted sandpiper","Climb","Day",2,0,0
"Bullock's oriole","Approach","Night",2,0,0
"Burrowing owl","Approach","Dusk",2,0,0
"Burrowing owl","Departure","Day",2,0,0
"Cackling goose","Approach","Dusk",2,0,0
"California ground squirrel","Take-off Run","Day",2,0,0
"California gull","Landing Roll","Dusk",2,0,0
"Canada goose","Departure","Night",2,0,0
"Cape May warbler","Landing Roll","Day",2,0,0
"Cape May warbler","Landing Roll","Night",2,0,0
"Caspian tern","Landing Roll","Day",2,0,0
"Cave swallow","Departure","Day",2,0,0
"Cave swallow","Take-off Run","Dawn",2,0,0
"Cedar waxwing","Arrival","Day",2,0,0
"Chestnut-collared longspur","Landing Roll","Day",2,0,0
"Chestnut-sided warbler","Arrival","Night",2,0,0
"Chestnut-sided warbler","Descent","Night",2,0,0
"Chestnut-sided warbler","Landing Roll","Day",2,0,0
"Chestnut-sided warbler","Landing Roll","Night",2,0,0
"Chestnut munia","Approach","Dusk",2,0,0
"Chimney swift","Climb","Dawn",2,0,0
"Chimney swift","Climb","Dusk",2,0,0
"Chimney swift","Departure","Night",2,0,0
"Chimney swift","Take-off Run","Night",2,0,0
"Chipping sparrow","Climb","Day",2,0,0
"Chipping sparrow","Climb","Night",2,0,0
"Clay-colored sparrow","Climb","Night",2,0,0
"Cliff swallow","Landing Roll","Dawn",2,0,0
"Common box turtle","Landing Roll","Day",2,0,0
"Common chaffinch","Climb","Day",2,0,0
"Common grackle","Climb","Night",2,0,0
"Common ground dove","Climb","Day",2,0,0
"Common myna","Climb","Dusk",2,0,0
"Common myna","Take-off Run","Dusk",2,0,0
"Common nighthawk","Departure","Day",2,0,0
"Common nighthawk","Local","Day",2,0,0
"Common waxbill","Climb","Day",2,0,0
"Common wood-pigeon","Landing Roll","Day",2,0,0
"Common yellowthroat","Approach","Dawn",2,0,0
"Connecticut warbler","Approach","Night",2,0,0
"Cooper's hawk","Approach","Night",2,0,0
"Cooper's hawk","Local","Day",2,0,0
"Coyote","Approach","Dusk",2,0,0
"Coyote","Departure","Day",2,0,0
"Coyote","Local","Day",2,0,0
"Crows","Approach","Dawn",2,0,0
"Crows","Climb","Dusk",2,0,0
"Crows","Landing Roll","Dusk",2,0,0
"Crows, ravens","Take-off Run","Day",2,0,0
"Dark-eyed junco","Approach","Dusk",2,0,0
"Dark-eyed junco","Landing Roll","Day",2,0,0
"Deer","Approach","Dusk",2,0,0
"Dickcissel","Climb","Day",2,0,0
"Dickcissel","Descent","Night",2,0,0
"Dickcissel","Landing Roll","Night",2,0,0
"Domestic/feral cat","Take-off Run","Night",2,0,0
"Domestic/feral dog","Approach","Dawn",2,0,0
"Doves","Arrival","Day",2,0,0
"Doves","Descent","Day",2,0,0
"Doves","Local","Day",2,0,0
"Ducks","Arrival","Night",2,0,0
"Ducks","Departure","Night",2,0,0
"Ducks","Landing Roll","Dawn",2,0,0
"Dunlin","Descent","Day",2,0,0
"Dunlin","Landing Roll","Night",2,0,0
"Dunlin","Take-off Run","Night",2,0,0
"Eastern bluebird","Climb","Day",2,0,0
"Eastern cattle egret","Landing Roll","Day",2,0,0
"Eastern cottontail","Take-off Run","Dawn",2,0,0
"Eastern cottontail","Take-off Run","Dusk",2,0,0
"Eastern cottontail","Taxi","Day",2,0,0
"Eastern meadowlark","Departure","Dawn",2,0,0
"Eastern phoebe","Climb","Night",2,0,0
"Eastern red bat","Climb","Day",2,0,0
"Eastern towhee","Take-off Run","Day",2,0,0
"Eurasian collared dove","Descent","Night",2,0,0
"Eurasian collared dove","Take-off Run","Night",2,0,0
"Eurasian skylark","Take-off Run","Dusk",2,0,0
"European starling","Arrival","Dusk",2,0,0
"European starling","Departure","Dusk",2,0,0
"European starling","Parked","Day",2,0,0
"Falcons, caracaras","Approach","Day",2,0,0
"Falcons, kestrels, falconets","Take-off Run","Dawn",2,0,0
"Ferruginous hawk","Take-off Run","Night",2,0,0
"Field sparrow","Approach","Day",2,0,0
"Forster's tern","Climb","Day",2,0,0
"Fox sparrow","En Route","Night",2,0,0
"Foxes","Take-off Run","Dawn",2,0,0
"Franklin's gull","Climb","Dawn",2,0,0
"Franklin's gull","Climb","Dusk",2,0,0
"Franklin's gull","Take-off Run","Dusk",2,0,0
"Free-tailed bats","Approach","Dawn",2,0,0
"Free-tailed bats","Departure","Night",2,0,0
"Free-tailed bats","Descent","Night",2,0,0
"Free-tailed bats","En Route","Night",2,0,0
"Geese","Departure","Day",2,0,0
"Glaucous-winged gull","Approach","Dusk",2,0,0
"Golden-crowned sparrow","Approach","Dawn",2,0,0
"Golden eagle","Landing Roll","Day",2,0,0
"Golden eagle","Take-off Run","Day",2,0,0
"Gopher snake","Landing Roll","Day",2,0,0
"Gopher snake","Taxi","Day",2,0,0
"Gopher tortoise","Taxi","Day",2,0,0
"Grackles","Approach","Night",2,0,0
"Grackles","Landing Roll","Night",2,0,0
"Grackles","Taxi","Day",2,0,0
"Grasshopper sparrow","Approach","Day",2,0,0
"Grasshopper sparrow","Descent","Night",2,0,0
"Grasshopper sparrow","Take-off Run","Dawn",2,0,0
"Grasshopper sparrow","Take-off Run","Dusk",2,0,0
"Gray-cheeked thrush","Approach","Dusk",2,0,0
"Gray-cheeked thrush","En Route","Day",2,0,0
"Gray-cheeked thrush","Landing Roll","Night",2,0,0
"Gray-crowned rosy-finch","Approach","Day",2,0,0
"Gray catbird","Approach","Dusk",2,0,0
"Gray catbird","Departure","Day",2,0,0
"Gray catbird","Landing Roll","Dawn",2,0,0
"Gray catbird","Local","Night",2,0,0
"Gray catbird","Take-off Run","Dawn",2,0,0
"Gray catbird","Take-off Run","Day",2,0,0
"Gray catbird","Take-off Run","Night",2,0,0
"Gray flycatcher","Approach","Night",2,0,0
"Gray kingbird","Take-off Run","Day",2,0,0
"Gray partridge","Landing Roll","Dawn",2,0,0
"Gray partridge","Taxi","Night",2,0,0
"Great-tailed grackle","Climb","Night",2,0,0
"Great blue heron","Taxi","Day",2,0,0
"Great egret","Local","Day",2,0,0
"Great horned owl","Arrival","Night",2,0,0
"Great horned owl","Landing Roll","Dawn",2,0,0
"Great horned owl","Take-off Run","Day",2,0,0
"Greater scaup","Approach","Night",2,0,0
"Greater white-fronted goose","Landing Roll","Night",2,0,0
"Greater white-fronted goose","Take-off Run","Day",2,0,0
"Greater yellowlegs","Take-off Run","Day",2,0,0
"Green heron","Climb","Night",2,0,0
"Green heron","Take-off Run","Dawn",2,0,0
"Green heron","Take-off Run","Day",2,0,0
"Green iguana","Approach","Day",2,0,0
"Hammond's flycatcher","Climb","Night",2,0,0
"Hawaiian goose","Take-off Run","Day",2,0,0
"Herons","Approach","Night",2,0,0
"Herons","Landing Roll","Night",2,0,0
"Herons, egrets, bitterns","Approach","Day",2,0,0
"Herons, egrets, bitterns","Landing Roll","Night",2,0,0
"Herring gull","Local","Day",2,0,0
"Herring gull","Taxi","Day",2,0,0
"Hoary bat","Approach","Day",2,0,0
"Hoary bat","Arrival","Night",2,0,0
"Hoary bat","En Route","Night",2,0,0
"Hoary bat","Landing Roll","Day",2,0,0
"Hooded oriole","Landing Roll","Day",2,0,0
"Horned lark","Arrival","Night",2,0,0
"Horned lark","Descent","Night",2,0,0
"Horned lark","Landing Roll","Dawn",2,0,0
"Horned lark","Taxi","Night",2,0,0
"House finch","Approach","Dawn",2,0,0
"House finch","Approach","Dusk",2,0,0
"House finch","Climb","Dawn",2,0,0
"House finch","Take-off Run","Dawn",2,0,0
"House sparrow","Climb","Night",2,0,0
"House sparrow","Departure","Day",2,0,0
"House sparrow","Landing Roll","Night",2,0,0
"House sparrow","Take-off Run","Dusk",2,0,0
"Hummingbirds","Climb","Day",2,0,0
"Ibises","Landing Roll","Day",2,0,0
"Inca dove","Take-off Run","Day",2,0,0
"Indian pipistrelle","Take-off Run","Night",2,0,0
"Indian silverbill","Landing Roll","Day",2,0,0
"Indigo bunting","Approach","Dusk",2,0,0
"Kentucky warbler","Approach","Night",2,0,0
"Kentucky warbler","Take-off Run","Day",2,0,0
"Kentucky warbler","Take-off Run","Night",2,0,0
"Killdeer","Departure","Dawn",2,0,0
"Killdeer","En Route","Day",2,0,0
"Killdeer","Local","Dusk",2,0,0
"Killdeer","Taxi","Dawn",2,0,0
"Kites, eagles, hawks","Climb","Day",2,0,0
"Lagomorphs (rabbits, hares)","Local","Night",2,0,0
"Lapland longspur","Approach","Night",2,0,0
"Lark sparrow","Approach","Day",2,0,0
"Lark sparrow","Approach","Night",2,0,0
"Lark sparrow","Landing Roll","Day",2,0,0
"Lark sparrow","Take-off Run","Day",2,0,0
"Laughing gull","Approach","Dawn",2,0,0
"Laughing gull","Climb","Dawn",2,0,0
"Laughing gull","Climb","Dusk",2,0,0
"Laughing gull","Landing Roll","Dawn",2,0,0
"Laughing gull","Landing Roll","Night",2,0,0
"Laughing gull","Take-off Run","Dusk",2,0,0
"Laughing gull","Take-off Run","Night",2,0,0
"Laysan albatross","Approach","Dusk",2,0,0
"Laysan albatross","Landing Roll","Night",2,0,0
"Least bittern","Approach","Night",2,0,0
"Least flycatcher","Approach","Day",2,0,0
"Least flycatcher","Climb","Night",2,0,0
"Least flycatcher","Descent","Night",2,0,0
"Least flycatcher","En Route","Night",2,0,0
"Least flycatcher","Landing Roll","Day",2,0,0
"Least sandpiper","Approach","Dawn",2,0,0
"Least sandpiper","Approach","Dusk",2,0,0
"Least sandpiper","Climb","Dawn",2,0,0
"Least sandpiper","Descent","Day",2,0,0
"Least sandpiper","Take-off Run","Dusk",2,0,0
"Least tern","Approach","Night",2,0,0
"Least tern","Take-off Run","Day",2,0,0
"LeConte's sparrow","Approach","Night",2,0,0
"Lesser goldfinch","Approach","Day",2,0,0
"Lesser nighthawk","Approach","Day",2,0,0
"Lesser nighthawk","Landing Roll","Day",2,0,0
"Lesser nighthawk","Take-off Run","Night",2,0,0
"Lesser yellowlegs","Take-off Run","Day",2,0,0
"Lincoln's sparrow","Approach","Dusk",2,0,0
"Little blue heron","Approach","Day",2,0,0
"Little brown bat","Landing Roll","Day",2,0,0
"Loggerhead shrike","Approach","Day",2,0,0
"Loggerhead shrike","Landing Roll","Night",2,0,0
"Long-billed dowitcher","Approach","Dusk",2,0,0
"Long-billed dowitcher","Approach","Night",2,0,0
"Long-billed dowitcher","Landing Roll","Day",2,0,0
"Long-tailed jaeger","Take-off Run","Day",2,0,0
"MacGillivray's warbler","Approach","Day",2,0,0
"MacGillivray's warbler","Take-off Run","Day",2,0,0
"Magnolia warbler","En Route","Night",2,0,0
"Magnolia warbler","Take-off Run","Day",2,0,0
"Mallard","Taxi","Night",2,0,0
"Mallard/American black duck complex","Approach","Dusk",2,0,0
"Mallard/American black duck complex","Take-off Run","Day",2,0,0
"Marsh wren","Approach","Day",2,0,0
"Meadowlarks","Approach","Dawn",2,0,0
"Meadowlarks","Climb","Night",2,0,0
"Meadowlarks","Landing Roll","Dawn",2,0,0
"Megabats","Landing Roll","Night",2,0,0
"Merlin","Landing Roll","Dusk",2,0,0
"Microbats","Arrival","Night",2,0,0
"Microbats","Descent","Night",2,0,0
"Microbats","Landing Roll","Dusk",2,0,0
"Mississippi kite","Take-off Run","Day",2,0,0
"Monk parakeet","Approach","Day",2,0,0
"Mountain bluebird","Climb","Day",2,0,0
"Mountain bluebird","Landing Roll","Dusk",2,0,0
"Mountain bluebird","Landing Roll","Night",2,0,0
"Mountain chickadee","Take-off Run","Day",2,0,0
"Mourning dove","Local","Dawn",2,0,0
"Mourning warbler","Approach","Night",2,0,0
"Munias","Approach","Day",2,0,0
"Muskrat","Taxi","Night",2,0,0
"Mute swan","Take-off Run","Day",2,0,0
"Nashville warbler","Approach","Dawn",2,0,0
"Nashville warbler","Climb","Day",2,0,0
"Nashville warbler","Climb","Night",2,0,0
"Nashville warbler","Descent","Night",2,0,0
"Nashville warbler","Landing Roll","Day",2,0,0
"Nashville warbler","Landing Roll","Night",2,0,0
"Nashville warbler","Take-off Run","Day",2,0,0
"New World quail","Approach","Day",2,0,0
"New World wood-warblers","Climb","Day",2,0,0
"New World wood-warblers","Landing Roll","Night",2,0,0
"Nine-banded armadillo","Take-off Run","Night",2,0,0
"Nine-banded armadillo","Taxi","Night",2,0,0
"Noddies","Landing Roll","Day",2,0,0
"North American porcupine","Landing Roll","Day",2,0,0
"Northern bobwhite","Landing Roll","Day",2,0,0
"Northern cardinal","Approach","Day",2,0,0
"Northern flicker","Approach","Dawn",2,0,0
"Northern flicker","Landing Roll","Night",2,0,0
"Northern house wren","Climb","Night",2,0,0
"Northern parula","Approach","Dawn",2,0,0
"Northern parula","Approach","Day",2,0,0
"Northern parula","Landing Roll","Dawn",2,0,0
"Northern parula","Landing Roll","Day",2,0,0
"Northern pintail","Landing Roll","Day",2,0,0
"Northern pintail","Take-off Run","Night",2,0,0
"Northern shoveler","Descent","Night",2,0,0
"Orange-crowned warbler","En Route","Night",2,0,0
"Orange-crowned warbler","Landing Roll","Day",2,0,0
"Orange-crowned warbler","Landing Roll","Night",2,0,0
"Osprey","Approach","Dusk",2,0,0
