"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE"
"Common gallinule","Named species",13,13,2,0,0.153846153846154
"Common garter snake","Named species",14,14,0,0,0
"Common goldeneye","Named species",18,18,6,0,0.333333333333333
"Common grackle","Named species",408,408,10,0,0.0245098039215686
"Common gray fox","Named species",25,25,2,0,0.08
"Common ground dove","Named species",72,72,0,0,0
"Common gull","Named species",6,6,0,0,0
"Common kingsnake","Named species",5,5,0,0,0
"Common loon","Named species",60,60,33,0,0.55
"Common merganser","Named species",15,15,4,0,0.266666666666667
"Common murre","Named species",1,1,0,0,0
"Common myna","Named species",168,168,4,0,0.0238095238095238
"Common nighthawk","Named species",1541,1541,8,0,0.00519143413367943
"Common pauraque","Named species",22,22,0,0,0
"Common pipistrelle","Named species",2,2,0,0,0
"Common poorwill","Named species",26,26,1,0,0.0384615384615385
"Common raven","Named species",98,98,16,0,0.163265306122449
"Common ringed plover","Named species",1,1,0,0,0
"Common snapping turtle","Named species",73,73,0,0,0
"Common snipe","Named species",3,3,0,0,0
"Common swift","Named species",36,36,2,0,0.0555555555555556
"Common tern","Named species",61,61,2,0,0.0327868852459016
"Common waxbill","Named species",20,20,0,0,0
"Common wood-pigeon","Named species",12,12,1,0,0.0833333333333333
"Common yellowthroat","Named species",430,430,3,0,0.00697674418604651
"Connecticut warbler","Named species",9,9,0,0,0
"Cooper's hawk","Named species",249,249,12,0,0.0481927710843374
"Cormorants","Broad/ambiguous label",3,3,1,0,0.333333333333333
"Corn crake","Named species",1,1,0,0,0
"Corn snake","Named species",3,3,0,0,0
"Costa's hummingbird","Named species",5,5,0,0,0
"Couch's kingbird","Named species",3,3,0,0,0
"Coyote","Named species",988,988,75,0,0.0759109311740891
"Coypu (nutria)","Named species",3,3,0,0,0
"Cranes","Broad/ambiguous label",2,2,1,0,0.5
"Crested caracara","Named species",44,44,12,0,0.272727272727273
"Crows","Broad/ambiguous label",247,247,25,0,0.101214574898785
"Crows, ravens","Broad/ambiguous label",9,9,2,0,0.222222222222222
"Cuban flower bat","Named species",1,1,0,0,0
"Cuckoos","Broad/ambiguous label",56,56,9,0,0.160714285714286
"Curve-billed thrasher","Named species",2,2,0,0,0
"Dark-billed cuckoo","Named species",1,1,1,0,1
"Dark-eyed junco","Named species",580,580,5,0,0.00862068965517241
"DeKay's brown snake","Named species",2,2,0,0,0
"Deer","Broad/ambiguous label",17,17,14,0,0.823529411764706
"Desert cottontail","Named species",115,115,0,0,0
"Diamondback terrapin","Named species",95,95,0,0,0
"Diamondback water snake","Named species",2,2,0,0,0
"Dickcissel","Named species",65,65,1,0,0.0153846153846154
"Diving duck (Aythya)","Broad/ambiguous label",43,43,5,0,0.116279069767442
"Domestic sheep","Named species",1,1,1,0,1
"Domestic/feral cat","Named species",53,53,0,0,0
"Domestic/feral dog","Named species",59,59,16,0,0.271186440677966
"Double-crested cormorant","Named species",274,274,82,0,0.299270072992701
"Double-striped thick-knee","Named species",3,3,1,0,0.333333333333333
"Doves","Broad/ambiguous label",1418,1418,59,0,0.041607898448519
"Downy woodpecker","Named species",17,17,0,0,0
"Ducks","Broad/ambiguous label",979,979,318,0,0.324821246169561
"Ducks, geese, swans","Broad/ambiguous label",154,154,75,0,0.487012987012987
"Dunlin","Named species",180,180,9,0,0.05
"Dusky flycatcher","Named species",9,9,0,0,0
"Dusky thrush","Named species",1,1,0,0,0
"Eagles","Broad/ambiguous label",7,7,3,0,0.428571428571429
"Eared dove","Named species",4,4,0,0,0
"Eared grebe","Named species",38,38,9,0,0.236842105263158
"Eastern barn owl","Named species",1,1,0,0,0
"Eastern bluebird","Named species",40,40,0,0,0
"Eastern cattle egret","Named species",4,4,1,0,0.25
"Eastern cottontail","Named species",240,240,3,0,0.0125
"Eastern diamondback rattlesnake","Named species",2,2,0,0,0
"Eastern gray squirrel","Named species",3,3,0,0,0
"Eastern hognose snake","Named species",1,1,0,0,0
"Eastern kingbird","Named species",136,136,2,0,0.0147058823529412
"Eastern meadowlark","Named species",5271,5271,43,0,0.00815784481123127
"Eastern mud turtle","Named species",2,2,0,0,0
"Eastern phoebe","Named species",96,96,1,0,0.0104166666666667
"Eastern pine snake","Named species",1,1,0,0,0
"Eastern racer","Named species",1,1,0,0,0
"Eastern rat snake","Named species",9,9,0,0,0
"Eastern red bat","Named species",919,919,6,0,0.00652883569096844
"Eastern screech-owl","Named species",8,8,2,0,0.25
"Eastern small-footed myotis","Named species",2,2,0,0,0
"Eastern towhee","Named species",58,58,2,0,0.0344827586206897
"Eastern whip-poor-will","Named species",21,21,0,0,0
"Eastern wood-pewee","Named species",102,102,1,0,0.00980392156862745
"Egrets","Broad/ambiguous label",406,406,38,0,0.0935960591133005
"Egyptian free-tailed bat","Named species",4,4,0,0,0
"Egyptian goose","Named species",2,2,0,0,0
"Elegant tern","Named species",4,4,0,0,0
"Emperor goose","Named species",2,2,1,0,0.5
"Eurasian buzzard","Named species",5,5,1,0,0.2
"Eurasian collared dove","Named species",121,121,3,0,0.0247933884297521
"Eurasian coot","Named species",2,2,0,0,0
"Eurasian curlew","Named species",2,2,1,0,0.5
"Eurasian kestrel","Named species",7,7,1,0,0.142857142857143
"Eurasian moorhen","Named species",1,1,1,0,1
"Eurasian siskin","Named species",1,1,0,0,0
"Eurasian skylark","Named species",180,180,0,0,0
"Eurasian wigeon","Named species",3,3,1,0,0.333333333333333
"European golden-plover","Named species",1,1,0,0,0
"European goldfinch","Named species",1,1,0,0,0
"European robin","Named species",1,1,0,0,0
"European starling","Named species",6976,6976,170,0,0.0243692660550459
"Evening bat","Named species",142,142,2,0,0.0140845070422535
"Evening grosbeak","Named species",5,5,1,0,0.2
"Falcons, caracaras","Broad/ambiguous label",14,14,2,0,0.142857142857143
"Falcons, kestrels, falconets","Broad/ambiguous label",82,82,7,0,0.0853658536585366
"Ferruginous hawk","Named species",78,78,5,0,0.0641025641025641
"Field sparrow","Named species",97,97,1,0,0.0103092783505155
"Finches, euphonias","Broad/ambiguous label",149,149,2,0,0.0134228187919463
"Fish crow","Named species",6,6,0,0,0
