"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK"
"Brewer's blackbird","Named species",112,112,3,0,0.0267857142857143,185
"Rose-breasted grosbeak","Named species",87,87,3,0,0.0344827586206897,185
"Brown thrasher","Named species",67,67,3,0,0.0447761194029851,185
"Great crested flycatcher","Named species",67,67,3,0,0.0447761194029851,185
"Violet-green swallow","Named species",66,66,3,0,0.0454545454545455,185
"Green heron","Named species",65,65,3,0,0.0461538461538462,185
"Blue-headed vireo","Named species",58,58,3,0,0.0517241379310345,185
"Black-billed magpie","Named species",43,43,3,0,0.0697674418604651,185
"American alligator","Named species",37,37,3,0,0.0810810810810811,185
"Whimbrel","Named species",35,35,3,0,0.0857142857142857,185
"Long-billed curlew","Named species",25,25,3,0,0.12,185
"Northern bobwhite","Named species",19,19,3,0,0.157894736842105,185
"Mute swan","Named species",13,13,3,0,0.230769230769231,185
"Willow ptarmigan","Named species",12,12,3,0,0.25,185
"Red-naped sapsucker","Named species",8,8,3,0,0.375,185
"Red-necked grebe","Named species",8,8,3,0,0.375,185
"Common eider","Named species",7,7,3,0,0.428571428571429,185
"Yellow-legged gull","Named species",3,3,3,0,1,185
"Striped skunk","Named species",919,919,2,0,0.00217627856365615,214
"House finch","Named species",324,324,2,0,0.00617283950617284,214
"Wilson's warbler","Named species",254,254,2,0,0.0078740157480315,214
"American redstart","Named species",252,252,2,0,0.00793650793650794,214
"Yellow warbler","Named species",232,232,2,0,0.00862068965517241,214
"Blackpoll warbler","Named species",221,221,2,0,0.00904977375565611,214
"Tennessee warbler","Named species",215,215,2,0,0.00930232558139535,214
"Lapland longspur","Named species",183,183,2,0,0.0109289617486339,214
"Lark bunting","Named species",176,176,2,0,0.0113636363636364,214
"Northern house wren","Named species",143,143,2,0,0.013986013986014,214
"Evening bat","Named species",142,142,2,0,0.0140845070422535,214
"Eastern kingbird","Named species",136,136,2,0,0.0147058823529412,214
"Indigo bunting","Named species",129,129,2,0,0.0155038759689922,214
"Northern waterthrush","Named species",118,118,2,0,0.0169491525423729,214
"Cave swallow","Named species",113,113,2,0,0.0176991150442478,214
"Warbling vireo","Named species",103,103,2,0,0.0194174757281553,214
"Buff-breasted sandpiper","Named species",100,100,2,0,0.02,214
"Baird's sandpiper","Named species",94,94,2,0,0.0212765957446809,214
"Yellow-breasted chat","Named species",85,85,2,0,0.0235294117647059,214
"Lark sparrow","Named species",82,82,2,0,0.024390243902439,214
"Least flycatcher","Named species",74,74,2,0,0.027027027027027,214
"Sharp-shinned hawk","Named species",70,70,2,0,0.0285714285714286,214
"Common tern","Named species",61,61,2,0,0.0327868852459016,214
"Pine siskin","Named species",60,60,2,0,0.0333333333333333,214
"Eastern towhee","Named species",58,58,2,0,0.0344827586206897,214
"Sharp-tailed grouse","Named species",37,37,2,0,0.0540540540540541,214
