"SPECIES","SPECIES_GROUP","REVIEW_STATUS"
"Larks","Perching birds","Reviewed 2026-09-18"
"Laughing gull","Gulls & terns","Existing assignment; not fully audited"
"Lawrence's goldfinch","Perching birds","Existing assignment; not fully audited"
"Lawrence's warbler","Perching birds","Existing assignment; not fully audited"
"Laysan albatross","Seabirds","Existing assignment; not fully audited"
"Lazuli bunting","Perching birds","Existing assignment; not fully audited"
"Least bittern","Wading birds","Existing assignment; not fully audited"
"Least flycatcher","Perching birds","Existing assignment; not fully audited"
"Least sandpiper","Shorebirds","Existing assignment; not fully audited"
"Least tern","Gulls & terns","Existing assignment; not fully audited"
"Least weasel","Other mammals","Existing assignment; not fully audited"
"LeConte's sparrow","Perching birds","Existing assignment; not fully audited"
"Leschenault's rousette","Bats","Reviewed 2026-09-18"
"Lesser black-backed gull","Gulls & terns","Existing assignment; not fully audited"
"Lesser bulldog bat","Bats","Existing assignment; not fully audited"
"Lesser goldfinch","Perching birds","Existing assignment; not fully audited"
"Lesser nighthawk","Other birds","Existing assignment; not fully audited"
"Lesser scaup","Waterfowl","Existing assignment; not fully audited"
"Lesser whitethroat","Perching birds","Reviewed 2026-09-18"
"Lesser yellowlegs","Shorebirds","Existing assignment; not fully audited"
"Lilac-crowned parrot","Other birds","Reviewed 2026-09-18"
"Limpkin","Wading birds","Reviewed 2026-09-18"
"Lincoln's sparrow","Perching birds","Existing assignment; not fully audited"
"Lined snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Little blue heron","Wading birds","Existing assignment; not fully audited"
"Little brown bat","Bats","Existing assignment; not fully audited"
"Little owl","Raptors","Existing assignment; not fully audited"
"Little red flying fox","Other mammals","Existing assignment; not fully audited"
"Little swift","Other birds","Existing assignment; not fully audited"
"Little tern","Gulls & terns","Existing assignment; not fully audited"
"Loggerhead kingbird","Perching birds","Existing assignment; not fully audited"
"Loggerhead shrike","Perching birds","Existing assignment; not fully audited"
"Long-billed curlew","Shorebirds","Existing assignment; not fully audited"
"Long-billed dowitcher","Shorebirds","Reviewed 2026-09-18"
"Long-billed thrasher","Perching birds","Existing assignment; not fully audited"
"Long-eared myotis","Bats","Reviewed 2026-09-18"
"Long-eared owl","Raptors","Existing assignment; not fully audited"
"Long-legged myotis","Bats","Existing assignment; not fully audited"
"Long-nosed snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Long-tailed duck","Waterfowl","Existing assignment; not fully audited"
"Long-tailed jaeger","Gulls & terns","Existing assignment; not fully audited"
"Long-tailed weasel","Other mammals","Existing assignment; not fully audited"
"Longspurs, snow buntings","Perching birds","Existing assignment; not fully audited"
"Loons","Seabirds","Existing assignment; not fully audited"
"Louisiana waterthrush","Perching birds","Existing assignment; not fully audited"
"MacGillivray's warbler","Perching birds","Existing assignment; not fully audited"
"Magnificent frigatebird","Seabirds","Reviewed 2026-09-18"
"Magnolia warbler","Perching birds","Existing assignment; not fully audited"
"Magpies","Corvids","Existing assignment; not fully audited"
"Mallard","Waterfowl","Existing assignment; not fully audited"
"Mallard/American black duck complex","Waterfowl","Existing assignment; not fully audited"
"Mallard/mottled duck complex","Waterfowl","Existing assignment; not fully audited"
"Mammals","Other mammals","Existing assignment; not fully audited"
"Marbled godwit","Shorebirds","Existing assignment; not fully audited"
"Marbled murrelet","Seabirds","Existing assignment; not fully audited"
"Mariana kingfisher","Other birds","Existing assignment; not fully audited"
"Marmots","Other mammals","Existing assignment; not fully audited"
"Marsh rabbit","Other mammals","Existing assignment; not fully audited"
"Marsh wren","Perching birds","Existing assignment; not fully audited"
"Mauritian tomb bat","Bats","Existing assignment; not fully audited"
"McKay's bunting","Perching birds","Existing assignment; not fully audited"
"Meadow pipit","Perching birds","Reviewed 2026-09-18"
"Meadowlarks","Perching birds","Existing assignment; not fully audited"
"Medium egret","Wading birds","Existing assignment; not fully audited"
"Megabats","Bats","Existing assignment; not fully audited"
"Merlin","Raptors","Existing assignment; not fully audited"
"Microbats","Bats","Existing assignment; not fully audited"
"Milk snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Mississippi kite","Raptors","Existing assignment; not fully audited"
"Mitred parakeet","Other birds","Reviewed 2026-09-18"
"Mockingbirds","Perching birds","Existing assignment; not fully audited"
"Mohave rattlesnake","Reptiles & amphibians","Reviewed 2026-09-18"
"Monk parakeet","Other birds","Reviewed 2026-09-18"
"Moose","Deer","Existing assignment; not fully audited"
"Morelet's seedeater","Perching birds","Reviewed 2026-09-18"
"Mottled duck","Waterfowl","Existing assignment; not fully audited"
"Mountain bluebird","Perching birds","Existing assignment; not fully audited"
"Mountain chickadee","Perching birds","Existing assignment; not fully audited"
"Mountain cottontail","Other mammals","Reviewed 2026-09-18"
"Mourning dove","Doves & pigeons","Existing assignment; not fully audited"
"Mourning warbler","Perching birds","Existing assignment; not fully audited"
"Mugimaki flycatcher","Perching birds","Existing assignment; not fully audited"
"Mule deer","Deer","Existing assignment; not fully audited"
"Munias","Perching birds","Reviewed 2026-09-18"
"Muscovy duck","Waterfowl","Existing assignment; not fully audited"
"Muskrat","Other mammals","Existing assignment; not fully audited"
"Mute swan","Waterfowl","Existing assignment; not fully audited"
"Mynas","Perching birds","Reviewed 2026-09-18"
"Nacunda nighthawk","Other birds","Existing assignment; not fully audited"
"Naked-rumped tomb bat","Bats","Existing assignment; not fully audited"
"Nanday parakeet","Other birds","Reviewed 2026-09-18"
"Nashville warbler","Perching birds","Existing assignment; not fully audited"
"Nelson's sparrow","Perching birds","Existing assignment; not fully audited"
"Neotropic cormorant","Seabirds","Existing assignment; not fully audited"
"New world porcupines","Other mammals","Existing assignment; not fully audited"
"New World quail","Upland game birds","Existing assignment; not fully audited"
"New world rats","Other mammals","Existing assignment; not fully audited"
"New World vultures","Raptors","Existing assignment; not fully audited"
"New World wood-warblers","Perching birds","Existing assignment; not fully audited"
"Newell's shearwater","Seabirds","Existing assignment; not fully audited"
"Nightjars","Other birds","Existing assignment; not fully audited"
"Nine-banded armadillo","Other mammals","Existing assignment; not fully audited"
"Noddies","Gulls & terns","Reviewed 2026-09-18"
"North American beaver","Other mammals","Existing assignment; not fully audited"
"North American porcupine","Other mammals","Existing assignment; not fully audited"
"Northern bobwhite","Upland game birds","Reviewed 2026-09-18"
"Northern cardinal","Perching birds","Reviewed 2026-09-18"
"Northern flicker","Other birds","Existing assignment; not fully audited"
"Northern fulmar","Seabirds","Reviewed 2026-09-18"
"Northern gannet","Seabirds","Existing assignment; not fully audited"
"Northern harrier","Raptors","Existing assignment; not fully audited"
"Northern hawk owl","Raptors","Existing assignment; not fully audited"
"Northern house wren","Perching birds","Existing assignment; not fully audited"
"Northern lapwing","Shorebirds","Reviewed 2026-09-18"
"Northern map turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Northern mockingbird","Perching birds","Existing assignment; not fully audited"
"Northern parula","Perching birds","Reviewed 2026-09-18"
"Northern pintail","Waterfowl","Existing assignment; not fully audited"
"Northern pygmy-owl","Raptors","Existing assignment; not fully audited"
"Northern rough-winged swallow","Perching birds","Existing assignment; not fully audited"
"Northern saw-whet owl","Raptors","Existing assignment; not fully audited"
"Northern shoveler","Waterfowl","Existing assignment; not fully audited"
"Northern shrike","Perching birds","Existing assignment; not fully audited"
"Northern water snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Northern waterthrush","Perching birds","Existing assignment; not fully audited"
"Northern yellow bat","Bats","Existing assignment; not fully audited"
"Nuthatches","Perching birds","Existing assignment; not fully audited"
"Old World vultures","Raptors","Existing assignment; not fully audited"
"Old World warblers","Perching birds","Existing assignment; not fully audited"
"Olivaceous elaenia","Perching birds","Reviewed 2026-09-18"
"Olive sparrow","Perching birds","Existing assignment; not fully audited"
"Olive-backed pipit","Perching birds","Reviewed 2026-09-18"
"Olive-sided flycatcher","Perching birds","Existing assignment; not fully audited"
"Olive-throated parakeet","Other birds","Reviewed 2026-09-18"
"Orange-crowned warbler","Perching birds","Existing assignment; not fully audited"
"Orchard oriole","Perching birds","Existing assignment; not fully audited"
"Oriental plover","Shorebirds","Existing assignment; not fully audited"
"Oriental turtle dove","Reptiles & amphibians","Existing assignment; not fully audited"
"Orioles","Perching birds","Existing assignment; not fully audited"
"Ornate box turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Osprey","Raptors","Existing assignment; not fully audited"
"Ovenbird","Perching birds","Reviewed 2026-09-18"
"Owls","Raptors","Existing assignment; not fully audited"
"Oystercatchers","Shorebirds","Existing assignment; not fully audited"
"Pacific flying fox","Other mammals","Existing assignment; not fully audited"
"Pacific golden-plover","Shorebirds","Existing assignment; not fully audited"
"Pacific loon","Seabirds","Existing assignment; not fully audited"
"Pacific wren","Perching birds","Existing assignment; not fully audited"
"Painted bunting","Perching birds","Existing assignment; not fully audited"
"Painted turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Pallas's long-tongued bat","Bats","Existing assignment; not fully audited"
"Pallas's mastiff bat","Bats","Existing assignment; not fully audited"
"Pallid swift","Other birds","Existing assignment; not fully audited"
"Palm warbler","Perching birds","Existing assignment; not fully audited"
"Parakeets","Other birds","Reviewed 2026-09-18"
"Parasitic jaeger","Gulls & terns","Existing assignment; not fully audited"
"Parrots","Other birds","Reviewed 2026-09-18"
"Partridges","Upland game birds","Existing assignment; not fully audited"
"Pearly-eyed thrasher","Perching birds","Existing assignment; not fully audited"
"Peccaries","Other mammals","Reviewed 2026-09-18"
"Pectoral sandpiper","Shorebirds","Existing assignment; not fully audited"
"Pelagic cormorant","Seabirds","Existing assignment; not fully audited"
"Pelicans","Seabirds","Existing assignment; not fully audited"
"Perching birds (y)","Perching birds","Existing assignment; not fully audited"
"Perching birds (z)","Perching birds","Existing assignment; not fully audited"
"Peregrine falcon","Raptors","Existing assignment; not fully audited"
"Peters's short-nosed fruit bat","Bats","Existing assignment; not fully audited"
"Pheasants","Upland game birds","Existing assignment; not fully audited"
"Philadelphia vireo","Perching birds","Existing assignment; not fully audited"
"Philippine collared dove","Doves & pigeons","Existing assignment; not fully audited"
"Philippine duck","Waterfowl","Existing assignment; not fully audited"
"Picazuro pigeon","Doves & pigeons","Existing assignment; not fully audited"
"Pied-billed grebe","Seabirds","Existing assignment; not fully audited"
"Pigeon guillemot","Doves & pigeons","Existing assignment; not fully audited"
"Pigeons","Doves & pigeons","Existing assignment; not fully audited"
"Pigeons, doves","Doves & pigeons","Existing assignment; not fully audited"
"Pileated woodpecker","Other birds","Existing assignment; not fully audited"
"Pin-tailed snipe","Shorebirds","Existing assignment; not fully audited"
"Pine grosbeak","Perching birds","Existing assignment; not fully audited"
"Pine siskin","Perching birds","Reviewed 2026-09-18"
"Pine warbler","Perching birds","Existing assignment; not fully audited"
"Piping plover","Shorebirds","Existing assignment; not fully audited"
"Piute ground squirrel","Other mammals","Existing assignment; not fully audited"
"Plains garter snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Plovers","Shorebirds","Existing assignment; not fully audited"
"Plovers, lapwings","Shorebirds","Existing assignment; not fully audited"
"Pocket gophers","Other mammals","Existing assignment; not fully audited"
"Pocketed free-tailed bat","Bats","Existing assignment; not fully audited"
"Pond slider","Reptiles & amphibians","Reviewed 2026-09-18"
"Prairie dogs","Other mammals","Existing assignment; not fully audited"
"Prairie dogs, marmots, squirrels","Other mammals","Existing assignment; not fully audited"
"Prairie falcon","Raptors","Existing assignment; not fully audited"
"Prairie rattlesnake","Reptiles & amphibians","Reviewed 2026-09-18"
"Prairie warbler","Perching birds","Existing assignment; not fully audited"
"Pronghorn","Deer","Existing assignment; not fully audited"
"Prothonotary warbler","Perching birds","Existing assignment; not fully audited"
"Ptarmigans","Upland game birds","Existing assignment; not fully audited"
"Purple finch","Perching birds","Existing assignment; not fully audited"
"Purple gallinule","Wading birds","Reviewed 2026-09-18"
"Purple heron","Wading birds","Existing assignment; not fully audited"
"Purple martin","Perching birds","Existing assignment; not fully audited"
"Purple sandpiper","Shorebirds","Existing assignment; not fully audited"
"Pygmy nuthatch","Perching birds","Existing assignment; not fully audited"
"Quails, pheasants","Upland game birds","Existing assignment; not fully audited"
"Rabbits","Other mammals","Existing assignment; not fully audited"
"Raccoon","Other mammals","Existing assignment; not fully audited"
"Rails","Wading birds","Reviewed 2026-09-18"
"Rainbow lorikeet","Other birds","Reviewed 2026-09-18"
"Raptors: Hawks, eagles, vultures, kites, osprey, falcons, caracaras","Raptors","Existing assignment; not fully audited"
"Ravens","Corvids","Existing assignment; not fully audited"
"Red avadavat","Perching birds","Reviewed 2026-09-18"
"Red crossbill","Perching birds","Reviewed 2026-09-18"
"Red fox","Other mammals","Existing assignment; not fully audited"
"Red knot","Shorebirds","Reviewed 2026-09-18"
"Red phalarope","Shorebirds","Reviewed 2026-09-18"
"Red-bellied woodpecker","Other birds","Existing assignment; not fully audited"
"Red-billed pigeon","Doves & pigeons","Existing assignment; not fully audited"
"Red-breasted merganser","Waterfowl","Existing assignment; not fully audited"
"Red-breasted nuthatch","Perching birds","Existing assignment; not fully audited"
"Red-breasted sapsucker","Other birds","Existing assignment; not fully audited"
"Red-crested cardinal","Perching birds","Reviewed 2026-09-18"
"Red-crowned amazon","Other birds","Reviewed 2026-09-18"
"Red-eyed vireo","Perching birds","Existing assignment; not fully audited"
"Red-footed booby","Seabirds","Existing assignment; not fully audited"
"Red-headed woodpecker","Other birds","Existing assignment; not fully audited"
"Red-legged kittiwake","Gulls & terns","Existing assignment; not fully audited"
"Red-legged partridge","Upland game birds","Existing assignment; not fully audited"
"Red-masked parakeet","Other birds","Reviewed 2026-09-18"
"Red-naped sapsucker","Other birds","Existing assignment; not fully audited"
"Red-necked grebe","Seabirds","Existing assignment; not fully audited"
"Red-necked phalarope","Shorebirds","Reviewed 2026-09-18"
"Red-necked stint","Shorebirds","Reviewed 2026-09-18"
"Red-shouldered hawk","Raptors","Existing assignment; not fully audited"
"Red-tailed hawk","Raptors","Existing assignment; not fully audited"
"Red-tailed tropicbird","Seabirds","Reviewed 2026-09-18"
"Red-throated loon","Seabirds","Existing assignment; not fully audited"
"Red-vented bulbul","Perching birds","Reviewed 2026-09-18"
"Red-wattled lapwing","Shorebirds","Reviewed 2026-09-18"
"Red-winged blackbird","Perching birds","Existing assignment; not fully audited"
"Reddish egret","Wading birds","Existing assignment; not fully audited"
"Redhead","Waterfowl","Reviewed 2026-09-18"
"Redpoll","Perching birds","Reviewed 2026-09-18"
"Redwing","Perching birds","Reviewed 2026-09-18"
"Reptiles","Reptiles & amphibians","Reviewed 2026-09-18"
"Richardson's ground squirrel","Other mammals","Existing assignment; not fully audited"
"Ring-billed gull","Gulls & terns","Existing assignment; not fully audited"
"Ring-necked duck","Waterfowl","Existing assignment; not fully audited"
"Ring-necked pheasant","Upland game birds","Existing assignment; not fully audited"
"River cooter","Reptiles & amphibians","Reviewed 2026-09-18"
"River otter","Other mammals","Existing assignment; not fully audited"
"Rock pigeon","Doves & pigeons","Existing assignment; not fully audited"
"Rock ptarmigan","Upland game birds","Existing assignment; not fully audited"
"Rock sandpiper","Shorebirds","Existing assignment; not fully audited"
"Rock wren","Perching birds","Existing assignment; not fully audited"
"Rodents","Other mammals","Existing assignment; not fully audited"
"Rook","Corvids","Reviewed 2026-09-18"
"Rose-breasted grosbeak","Perching birds","Existing assignment; not fully audited"
"Rose-ringed parakeet","Other birds","Reviewed 2026-09-18"
"Roseate spoonbill","Wading birds","Existing assignment; not fully audited"
"Roseate tern","Gulls & terns","Existing assignment; not fully audited"
"Ross's goose","Waterfowl","Existing assignment; not fully audited"
"Rough-legged hawk","Raptors","Existing assignment; not fully audited"
"Royal tern","Gulls & terns","Existing assignment; not fully audited"
"Ruby-crowned kinglet","Perching birds","Existing assignment; not fully audited"
"Ruby-throated hummingbird","Other birds","Existing assignment; not fully audited"
"Ruddy duck","Waterfowl","Existing assignment; not fully audited"
"Ruddy ground dove","Doves & pigeons","Existing assignment; not fully audited"
"Ruddy turnstone","Shorebirds","Reviewed 2026-09-18"
"Ruffed grouse","Upland game birds","Existing assignment; not fully audited"
"Rufous hummingbird","Other birds","Existing assignment; not fully audited"
"Rufous-necked wood rail","Wading birds","Reviewed 2026-09-18"
"Rufous-tailed robin","Perching birds","Existing assignment; not fully audited"
"Rusty blackbird","Perching birds","Existing assignment; not fully audited"
"Sabine's gull","Gulls & terns","Existing assignment; not fully audited"
"Saffron finch","Perching birds","Existing assignment; not fully audited"
"Sage thrasher","Perching birds","Existing assignment; not fully audited"
"Sagebrush sparrow","Perching birds","Existing assignment; not fully audited"
"Sanderling","Shorebirds","Existing assignment; not fully audited"
"Sandhill crane","Wading birds","Existing assignment; not fully audited"
"Sandpipers, curlews, phalaropes, allies","Shorebirds","Existing assignment; not fully audited"
"Sandwich tern","Gulls & terns","Existing assignment; not fully audited"
"Savannah sparrow","Perching birds","Existing assignment; not fully audited"
"Say's phoebe","Perching birds","Existing assignment; not fully audited"
"Scaled quail","Upland game birds","Existing assignment; not fully audited"
"Scaly-breasted munia","Perching birds","Reviewed 2026-09-18"
"Scaly-naped pigeon","Doves & pigeons","Existing assignment; not fully audited"
"Scarlet tanager","Perching birds","Existing assignment; not fully audited"
"Scissor-tailed flycatcher","Perching birds","Existing assignment; not fully audited"
"Seaside sparrow","Perching birds","Existing assignment; not fully audited"
"Sedge wren","Perching birds","Existing assignment; not fully audited"
"Seminole bat","Bats","Existing assignment; not fully audited"
"Semipalmated plover","Shorebirds","Existing assignment; not fully audited"
"Semipalmated sandpiper","Shorebirds","Existing assignment; not fully audited"
"Sharp-shinned hawk","Raptors","Existing assignment; not fully audited"
"Sharp-tailed grouse","Upland game birds","Existing assignment; not fully audited"
"Sharp-tailed sandpiper","Shorebirds","Existing assignment; not fully audited"
"Shearwaters","Seabirds","Existing assignment; not fully audited"
"Shorebirds","Shorebirds","Reviewed 2026-09-18"
"Short-billed dowitcher","Shorebirds","Reviewed 2026-09-18"
"Short-billed gull","Gulls & terns","Existing assignment; not fully audited"
"Short-eared owl","Raptors","Existing assignment; not fully audited"
"Short-tailed hawk","Raptors","Existing assignment; not fully audited"
"Siberian sand-plover","Shorebirds","Existing assignment; not fully audited"
"Silver-haired bat","Bats","Existing assignment; not fully audited"
"Sinaloan mastiff bat","Bats","Existing assignment; not fully audited"
"Skunks","Other mammals","Existing assignment; not fully audited"
"Small Indian mongoose","Other mammals","Reviewed 2026-09-18"
"Smith's longspur","Perching birds","Reviewed 2026-09-18"
"Snakes","Reptiles & amphibians","Existing assignment; not fully audited"
"Snow bunting","Perching birds","Existing assignment; not fully audited"
"Snow goose","Waterfowl","Existing assignment; not fully audited"
"Snow goose/Ross's goose complex","Waterfowl","Existing assignment; not fully audited"
"Snowshoe hare","Other mammals","Existing assignment; not fully audited"
"Snowy egret","Wading birds","Existing assignment; not fully audited"
"Snowy owl","Raptors","Existing assignment; not fully audited"
"Snowy plover","Shorebirds","Existing assignment; not fully audited"
"Solitary sandpiper","Shorebirds","Existing assignment; not fully audited"
"Song sparrow","Perching birds","Existing assignment; not fully audited"
"Song thrush","Perching birds","Existing assignment; not fully audited"
"Sooty mustached bat","Bats","Existing assignment; not fully audited"
"Sooty tern","Gulls & terns","Existing assignment; not fully audited"
"Sora","Wading birds","Reviewed 2026-09-18"
"South American snipe","Shorebirds","Existing assignment; not fully audited"
"Southeastern myotis","Bats","Reviewed 2026-09-18"
"Southern lapwing","Shorebirds","Reviewed 2026-09-18"
"Sparrows","Perching birds","Existing assignment; not fully audited"
"Speckled pigeon","Doves & pigeons","Existing assignment; not fully audited"
"Spectacled caiman","Reptiles & amphibians","Reviewed 2026-09-18"
"Spiny softshell turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Spotted bat","Bats","Existing assignment; not fully audited"
"Spotted dove","Doves & pigeons","Existing assignment; not fully audited"
"Spotted flycatcher","Perching birds","Existing assignment; not fully audited"
"Spotted sandpiper","Shorebirds","Existing assignment; not fully audited"
"Spotted thick-knee","Shorebirds","Reviewed 2026-09-18"
"Spotted towhee","Perching birds","Existing assignment; not fully audited"
"Sprague's pipit","Perching birds","Reviewed 2026-09-18"
"Spruce grouse","Upland game birds","Existing assignment; not fully audited"
"Spur-winged lapwing","Shorebirds","Reviewed 2026-09-18"
"Squirrels","Other mammals","Existing assignment; not fully audited"
"Stilt sandpiper","Shorebirds","Existing assignment; not fully audited"
"Storm-petrels","Seabirds","Existing assignment; not fully audited"
"Striped mud turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Striped skunk","Other mammals","Existing assignment; not fully audited"
"Sulphur-bellied flycatcher","Perching birds","Existing assignment; not fully audited"
"Summer tanager","Perching birds","Existing assignment; not fully audited"
"Surf scoter","Waterfowl","Existing assignment; not fully audited"
"Surfbird","Shorebirds","Reviewed 2026-09-18"
"Swainson's hawk","Raptors","Existing assignment; not fully audited"
"Swainson's thrush","Perching birds","Existing assignment; not fully audited"
"Swainson's warbler","Perching birds","Existing assignment; not fully audited"
"Swallow-tailed kite","Raptors","Existing assignment; not fully audited"
"Swallows","Perching birds","Existing assignment; not fully audited"
"Swamp sparrow","Perching birds","Existing assignment; not fully audited"
"Swans","Waterfowl","Existing assignment; not fully audited"
"Swift, tree-swifts, hummingbirds","Other birds","Existing assignment; not fully audited"
"Swifts","Other birds","Existing assignment; not fully audited"
"Swine (pigs)","Other mammals","Existing assignment; not fully audited"
"Tennessee warbler","Perching birds","Existing assignment; not fully audited"
"Terns, noddies","Gulls & terns","Existing assignment; not fully audited"
"Texas blind snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Thick-billed kingbird","Perching birds","Existing assignment; not fully audited"
"Thick-billed longspur","Perching birds","Reviewed 2026-09-18"
"Thirteen-lined ground squirrel","Other mammals","Existing assignment; not fully audited"
"Thrashers","Perching birds","Existing assignment; not fully audited"
"Thrushes","Perching birds","Existing assignment; not fully audited"
"Towhees","Perching birds","Existing assignment; not fully audited"
"Townsend's solitaire","Perching birds","Reviewed 2026-09-18"
"Townsend's warbler","Perching birds","Existing assignment; not fully audited"
"Tree pipit","Perching birds","Reviewed 2026-09-18"
"Tree swallow","Perching birds","Existing assignment; not fully audited"
"Tri-colored bat","Bats","Existing assignment; not fully audited"
"Tricolored blackbird","Perching birds","Existing assignment; not fully audited"
"Tricolored heron","Wading birds","Existing assignment; not fully audited"
"Tropical kingbird","Perching birds","Existing assignment; not fully audited"
"Tropical mockingbird","Perching birds","Existing assignment; not fully audited"
"Tropicbirds","Seabirds","Reviewed 2026-09-18"
"Trumpeter swan","Waterfowl","Existing assignment; not fully audited"
"Tufted titmouse","Perching birds","Existing assignment; not fully audited"
"Tundra swan","Waterfowl","Existing assignment; not fully audited"
"Turkey vulture","Raptors","Existing assignment; not fully audited"
"Turtles","Reptiles & amphibians","Existing assignment; not fully audited"
"Typical owls","Raptors","Existing assignment; not fully audited"
"Tyrant (New World) flycatchers","Perching birds","Existing assignment; not fully audited"
"Unknown bird","Unknown bird","Existing assignment; not fully audited"
"Unknown bird - large","Unknown bird","Existing assignment; not fully audited"
"Unknown bird - medium","Unknown bird","Existing assignment; not fully audited"
"Unknown bird - small","Unknown bird","Existing assignment; not fully audited"
"Unknown bird or bat","Unknown bird","Existing assignment; not fully audited"
"Unknown terrestrial mammal","Unknown","Existing assignment; not fully audited"
"Upland sandpiper","Shorebirds","Existing assignment; not fully audited"
"Varied thrush","Perching birds","Existing assignment; not fully audited"
"Vaux's swift","Other birds","Existing assignment; not fully audited"
"Veery","Perching birds","Reviewed 2026-09-18"
"Vega gull","Gulls & terns","Existing assignment; not fully audited"
"Vermilion Flycatcher","Perching birds","Existing assignment; not fully audited"
"Vesper bats","Bats","Existing assignment; not fully audited"
"Vesper sparrow","Perching birds","Existing assignment; not fully audited"
"Violet-green swallow","Perching birds","Existing assignment; not fully audited"
"Vireos","Perching birds","Existing assignment; not fully audited"
"Virginia opossum","Other mammals","Existing assignment; not fully audited"
"Virginia rail","Wading birds","Reviewed 2026-09-18"
"Virginia's warbler","Perching birds","Existing assignment; not fully audited"
"Wagner's bonneted bat","Bats","Existing assignment; not fully audited"
"Wapiti (elk)","Deer","Existing assignment; not fully audited"
"Warbling vireo","Perching birds","Existing assignment; not fully audited"
"Water moccasin","Reptiles & amphibians","Reviewed 2026-09-18"
"Waxbills, mannikins, parrotfinches","Perching birds","Existing assignment; not fully audited"
"Wedge-tailed eagle","Raptors","Existing assignment; not fully audited"
"Wedge-tailed shearwater","Seabirds","Existing assignment; not fully audited"
"Western barn owl","Raptors","Existing assignment; not fully audited"
"Western bluebird","Perching birds","Existing assignment; not fully audited"
"Western cattle egret","Wading birds","Existing assignment; not fully audited"
"Western diamondback rattlesnake","Reptiles & amphibians","Reviewed 2026-09-18"
"Western flycatcher","Perching birds","Existing assignment; not fully audited"
"Western fox snake","Other mammals","Existing assignment; not fully audited"
"Western grebe","Seabirds","Existing assignment; not fully audited"
"Western gull","Gulls & terns","Existing assignment; not fully audited"
"Western hognose snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Western house-martin","Perching birds","Existing assignment; not fully audited"
"Western kingbird","Perching birds","Existing assignment; not fully audited"
"Western marsh harrier","Raptors","Existing assignment; not fully audited"
"Western mastiff bat","Bats","Existing assignment; not fully audited"
"Western meadowlark","Perching birds","Existing assignment; not fully audited"
"Western pipistrelle","Bats","Reviewed 2026-09-18"
"Western rat snake","Other mammals","Existing assignment; not fully audited"
"Western red bat","Bats","Existing assignment; not fully audited"
"Western ribbon snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Western sandpiper","Shorebirds","Existing assignment; not fully audited"
"Western screech-owl","Raptors","Existing assignment; not fully audited"
"Western small-footed myotis","Bats","Reviewed 2026-09-18"
"Western tanager","Perching birds","Existing assignment; not fully audited"
"Western wood-pewee","Perching birds","Reviewed 2026-09-18"
"Western yellow bat","Bats","Existing assignment; not fully audited"
"Western/Clark's grebe complex","Seabirds","Existing assignment; not fully audited"
"Whimbrel","Shorebirds","Reviewed 2026-09-18"
"Whiskered tern","Gulls & terns","Existing assignment; not fully audited"
"White ibis","Wading birds","Existing assignment; not fully audited"
"White stork","Wading birds","Existing assignment; not fully audited"
"White-/golden-crown sparrow complex","Perching birds","Existing assignment; not fully audited"
"White-bellied sea-eagle","Raptors","Existing assignment; not fully audited"
"White-breasted nuthatch","Perching birds","Existing assignment; not fully audited"
"White-crested elaenia","Perching birds","Reviewed 2026-09-18"
"White-crowned pigeon","Doves & pigeons","Existing assignment; not fully audited"
"White-crowned sparrow","Perching birds","Existing assignment; not fully audited"
"White-eyed vireo","Perching birds","Existing assignment; not fully audited"
"White-faced ibis","Wading birds","Existing assignment; not fully audited"
"White-fronted Swift","Other birds","Existing assignment; not fully audited"
"White-headed gull complex","Gulls & terns","Existing assignment; not fully audited"
"White-nosed coati","Other mammals","Reviewed 2026-09-18"
"White-rumped sandpiper","Shorebirds","Existing assignment; not fully audited"
"White-tailed deer","Deer","Existing assignment; not fully audited"
"White-tailed hawk","Raptors","Existing assignment; not fully audited"
"White-tailed jackrabbit","Other mammals","Reviewed 2026-09-18"
"White-tailed kite","Raptors","Existing assignment; not fully audited"
"White-tailed prairie dog","Other mammals","Existing assignment; not fully audited"
"White-tailed tropicbird","Seabirds","Reviewed 2026-09-18"
"White-throated sparrow","Perching birds","Existing assignment; not fully audited"
"White-throated swift","Other birds","Existing assignment; not fully audited"
"White-tufted grebe","Seabirds","Existing assignment; not fully audited"
"White-winged crossbill","Perching birds","Reviewed 2026-09-18"
"White-winged dove","Doves & pigeons","Existing assignment; not fully audited"
"White-winged scoter","Waterfowl","Existing assignment; not fully audited"
"White-winged swallow","Perching birds","Existing assignment; not fully audited"
"White-winged tern","Gulls & terns","Existing assignment; not fully audited"
"White's thrush","Perching birds","Existing assignment; not fully audited"
"Whooping crane","Wading birds","Existing assignment; not fully audited"
