"SPECIES","SPECIES_GROUP","REVIEW_STATUS"
"Eastern hognose snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Eastern kingbird","Perching birds","Existing assignment; not fully audited"
"Eastern meadowlark","Perching birds","Existing assignment; not fully audited"
"Eastern mud turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Eastern phoebe","Perching birds","Existing assignment; not fully audited"
"Eastern pine snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Eastern racer","Reptiles & amphibians","Reviewed 2026-09-18"
"Eastern rat snake","Other mammals","Existing assignment; not fully audited"
"Eastern red bat","Bats","Existing assignment; not fully audited"
"Eastern screech-owl","Raptors","Existing assignment; not fully audited"
"Eastern small-footed myotis","Bats","Reviewed 2026-09-18"
"Eastern towhee","Perching birds","Existing assignment; not fully audited"
"Eastern whip-poor-will","Other birds","Existing assignment; not fully audited"
"Eastern wood-pewee","Perching birds","Reviewed 2026-09-18"
"Egrets","Wading birds","Existing assignment; not fully audited"
"Egyptian free-tailed bat","Bats","Existing assignment; not fully audited"
"Egyptian goose","Waterfowl","Existing assignment; not fully audited"
"Elegant tern","Gulls & terns","Existing assignment; not fully audited"
"Emperor goose","Waterfowl","Existing assignment; not fully audited"
"Eurasian buzzard","Raptors","Reviewed 2026-09-18"
"Eurasian collared dove","Doves & pigeons","Existing assignment; not fully audited"
"Eurasian coot","Wading birds","Reviewed 2026-09-18"
"Eurasian curlew","Shorebirds","Existing assignment; not fully audited"
"Eurasian kestrel","Raptors","Existing assignment; not fully audited"
"Eurasian moorhen","Wading birds","Reviewed 2026-09-18"
"Eurasian siskin","Perching birds","Reviewed 2026-09-18"
"Eurasian skylark","Perching birds","Reviewed 2026-09-18"
"Eurasian wigeon","Waterfowl","Existing assignment; not fully audited"
"European golden-plover","Shorebirds","Existing assignment; not fully audited"
"European goldfinch","Perching birds","Existing assignment; not fully audited"
"European robin","Perching birds","Existing assignment; not fully audited"
"European starling","Perching birds","Existing assignment; not fully audited"
"Evening bat","Bats","Existing assignment; not fully audited"
"Evening grosbeak","Perching birds","Existing assignment; not fully audited"
"Falcons, caracaras","Raptors","Existing assignment; not fully audited"
"Falcons, kestrels, falconets","Raptors","Existing assignment; not fully audited"
"Ferruginous hawk","Raptors","Existing assignment; not fully audited"
"Field sparrow","Perching birds","Existing assignment; not fully audited"
"Finches, euphonias","Perching birds","Existing assignment; not fully audited"
"Fish crow","Corvids","Existing assignment; not fully audited"
"Flammulated owl","Raptors","Existing assignment; not fully audited"
"Florida bonneted bat","Bats","Existing assignment; not fully audited"
"Florida red-bellied cooter","Reptiles & amphibians","Reviewed 2026-09-18"
"Florida softshell turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Flying foxes","Other mammals","Existing assignment; not fully audited"
"Fork-tailed storm-petrel","Seabirds","Existing assignment; not fully audited"
"Forster's tern","Gulls & terns","Existing assignment; not fully audited"
"Fox sparrow","Other mammals","Existing assignment; not fully audited"
"Fox squirrel","Other mammals","Existing assignment; not fully audited"
"Foxes","Other mammals","Existing assignment; not fully audited"
"Franklin's gull","Gulls & terns","Existing assignment; not fully audited"
"Free-tailed bats","Bats","Existing assignment; not fully audited"
"Frigatebirds","Seabirds","Reviewed 2026-09-18"
"Fringed myotis","Bats","Reviewed 2026-09-18"
"Gadwall","Waterfowl","Existing assignment; not fully audited"
"Gambel's quail","Upland game birds","Existing assignment; not fully audited"
"Garden warbler","Perching birds","Existing assignment; not fully audited"
"Geese","Waterfowl","Existing assignment; not fully audited"
"Glaucous gull","Gulls & terns","Existing assignment; not fully audited"
"Glaucous-winged gull","Gulls & terns","Existing assignment; not fully audited"
"Glossy ibis","Wading birds","Existing assignment; not fully audited"
"Glossy snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Golden eagle","Raptors","Existing assignment; not fully audited"
"Golden-crowned kinglet","Perching birds","Existing assignment; not fully audited"
"Golden-crowned sparrow","Perching birds","Existing assignment; not fully audited"
"Golden-fronted woodpecker","Other birds","Existing assignment; not fully audited"
"Golden-winged warbler","Perching birds","Existing assignment; not fully audited"
"Gopher snake","Other mammals","Existing assignment; not fully audited"
"Gopher tortoise","Other mammals","Existing assignment; not fully audited"
"Grackles","Perching birds","Existing assignment; not fully audited"
"Grasshopper sparrow","Perching birds","Existing assignment; not fully audited"
"Gray bat","Bats","Existing assignment; not fully audited"
"Gray catbird","Perching birds","Existing assignment; not fully audited"
"Gray flycatcher","Perching birds","Existing assignment; not fully audited"
"Gray francolin","Upland game birds","Reviewed 2026-09-18"
"Gray heron","Wading birds","Existing assignment; not fully audited"
"Gray kingbird","Perching birds","Existing assignment; not fully audited"
"Gray partridge","Upland game birds","Existing assignment; not fully audited"
"Gray sac-winged bat","Bats","Existing assignment; not fully audited"
"Gray vireo","Perching birds","Existing assignment; not fully audited"
"Gray-breasted martin","Perching birds","Existing assignment; not fully audited"
"Gray-cheeked thrush","Perching birds","Existing assignment; not fully audited"
"Gray-crowned rosy-finch","Perching birds","Existing assignment; not fully audited"
"Gray-headed chickadee","Perching birds","Existing assignment; not fully audited"
"Gray-tailed tattler","Shorebirds","Reviewed 2026-09-18"
"Great black-backed gull","Gulls & terns","Existing assignment; not fully audited"
"Great blue heron","Wading birds","Existing assignment; not fully audited"
"Great cormorant","Seabirds","Existing assignment; not fully audited"
"Great crested flycatcher","Perching birds","Existing assignment; not fully audited"
"Great crested grebe","Seabirds","Existing assignment; not fully audited"
"Great egret","Wading birds","Existing assignment; not fully audited"
"Great frigatebird","Seabirds","Reviewed 2026-09-18"
"Great gray owl","Raptors","Existing assignment; not fully audited"
"Great horned owl","Raptors","Existing assignment; not fully audited"
"Great kiskadee","Perching birds","Reviewed 2026-09-18"
"Great-tailed grackle","Perching birds","Existing assignment; not fully audited"
"Greater Antillean grackle","Perching birds","Existing assignment; not fully audited"
"Greater prairie chicken","Upland game birds","Reviewed 2026-09-18"
"Greater roadrunner","Other birds","Existing assignment; not fully audited"
"Greater sage-grouse","Upland game birds","Existing assignment; not fully audited"
"Greater scaup","Waterfowl","Existing assignment; not fully audited"
"Greater spotted eagle","Raptors","Existing assignment; not fully audited"
"Greater white-fronted goose","Waterfowl","Existing assignment; not fully audited"
"Greater yellowlegs","Shorebirds","Existing assignment; not fully audited"
"Grebes","Seabirds","Existing assignment; not fully audited"
"Green heron","Wading birds","Existing assignment; not fully audited"
"Green iguana","Reptiles & amphibians","Reviewed 2026-09-18"
"Green-tailed towhee","Perching birds","Existing assignment; not fully audited"
"Green-winged teal","Waterfowl","Existing assignment; not fully audited"
"Greenish warbler","Perching birds","Existing assignment; not fully audited"
"Grey-headed flying fox","Other mammals","Existing assignment; not fully audited"
"Ground squirrels","Other mammals","Existing assignment; not fully audited"
"Grouse","Upland game birds","Existing assignment; not fully audited"
"Gull-billed tern","Gulls & terns","Existing assignment; not fully audited"
"Gulls","Gulls & terns","Existing assignment; not fully audited"
"Gulls, terns, kittiwakes","Gulls & terns","Existing assignment; not fully audited"
"Gunnison's prairie dog","Other mammals","Existing assignment; not fully audited"
"Gyrfalcon","Raptors","Existing assignment; not fully audited"
"Hairy woodpecker","Other birds","Existing assignment; not fully audited"
"Hammond's flycatcher","Perching birds","Existing assignment; not fully audited"
"Hares","Other mammals","Existing assignment; not fully audited"
"Harlequin duck","Waterfowl","Existing assignment; not fully audited"
"Harris's hawk","Raptors","Existing assignment; not fully audited"
"Harris's sparrow","Perching birds","Existing assignment; not fully audited"
"Hawaiian duck","Waterfowl","Existing assignment; not fully audited"
"Hawaiian goose","Waterfowl","Existing assignment; not fully audited"
"Hawaiian hawk","Raptors","Existing assignment; not fully audited"
"Hawaiian petrel","Seabirds","Existing assignment; not fully audited"
"Hawks","Raptors","Existing assignment; not fully audited"
"Heermann's gull","Gulls & terns","Existing assignment; not fully audited"
"Helmeted guineafowl","Upland game birds","Reviewed 2026-09-18"
"Hermit thrush","Perching birds","Existing assignment; not fully audited"
"Hermit warbler","Perching birds","Existing assignment; not fully audited"
"Herons","Wading birds","Existing assignment; not fully audited"
"Herons, egrets, bitterns","Wading birds","Existing assignment; not fully audited"
"Herring gull","Gulls & terns","Existing assignment; not fully audited"
"Hispaniolan mastiff bat","Bats","Existing assignment; not fully audited"
"Hoary bat","Bats","Existing assignment; not fully audited"
"Hooded crow","Corvids","Existing assignment; not fully audited"
"Hooded merganser","Waterfowl","Existing assignment; not fully audited"
"Hooded oriole","Perching birds","Existing assignment; not fully audited"
"Hooded warbler","Perching birds","Existing assignment; not fully audited"
"Horned grebe","Seabirds","Existing assignment; not fully audited"
"Horned lark","Perching birds","Existing assignment; not fully audited"
"Horned puffin","Seabirds","Existing assignment; not fully audited"
"Horse","Other mammals","Reviewed 2026-09-18"
"House finch","Perching birds","Existing assignment; not fully audited"
"House sparrow","Perching birds","Existing assignment; not fully audited"
"Hudsonian godwit","Shorebirds","Existing assignment; not fully audited"
"Hume's short-toed lark","Perching birds","Existing assignment; not fully audited"
"Hummingbirds","Other birds","Existing assignment; not fully audited"
"Ibises","Wading birds","Reviewed 2026-09-18"
"Iceland gull","Gulls & terns","Existing assignment; not fully audited"
"Iguanas","Reptiles & amphibians","Reviewed 2026-09-18"
"Inca dove","Doves & pigeons","Existing assignment; not fully audited"
"Indian flying fox","Other mammals","Existing assignment; not fully audited"
"Indian pipistrelle","Bats","Reviewed 2026-09-18"
"Indian silverbill","Perching birds","Reviewed 2026-09-18"
"Indiana bat","Bats","Existing assignment; not fully audited"
"Indigo bunting","Perching birds","Existing assignment; not fully audited"
"Island canary","Perching birds","Reviewed 2026-09-18"
"Jamaican fruit bat","Bats","Existing assignment; not fully audited"
"Japanese white-eye","Perching birds","Reviewed 2026-09-18"
"Java sparrow","Perching birds","Existing assignment; not fully audited"
"Kelaart's pipistrelle","Bats","Reviewed 2026-09-18"
"Kentish plover","Shorebirds","Existing assignment; not fully audited"
"Kentucky warbler","Perching birds","Existing assignment; not fully audited"
"Killdeer","Shorebirds","Existing assignment; not fully audited"
"King rail","Wading birds","Reviewed 2026-09-18"
"Kingfishers","Other birds","Existing assignment; not fully audited"
"Kirtland's warbler","Perching birds","Existing assignment; not fully audited"
"Kit fox","Other mammals","Existing assignment; not fully audited"
"Kites","Raptors","Existing assignment; not fully audited"
"Kites, eagles, hawks","Raptors","Existing assignment; not fully audited"
"Kittiwakes","Gulls & terns","Existing assignment; not fully audited"
"Kuhl's pipistrelle","Bats","Reviewed 2026-09-18"
"Ladder-backed woodpecker","Other birds","Existing assignment; not fully audited"
"Lagomorphs (rabbits, hares)","Other mammals","Existing assignment; not fully audited"
"Lanceolated warbler","Perching birds","Existing assignment; not fully audited"
"Lapland longspur","Perching birds","Reviewed 2026-09-18"
"Lappet-faced vulture","Raptors","Existing assignment; not fully audited"
"Lapwings","Shorebirds","Reviewed 2026-09-18"
"Lark bunting","Perching birds","Existing assignment; not fully audited"
"Lark sparrow","Perching birds","Existing assignment; not fully audited"
